Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    173     147.29      9.411		0.01879760767170746 | 0.06135201897844156
 R   1 G 298    165    156.698      3.423		0.9791336064635693 | 0.0

 R   1 G 299    167     156.82      3.563		0.9891336064635693 | 0.01

 R   1 G 300    167    156.908       3.38		0.9891336064635693 | 0.01

 R   1 G 301    165    156.844      3.389		0.9891336064635693 | 0.01

 R   1 G 302    165     156.71      3.332		0.9791336064635693 | 0.0

 R   1 G 303    165    156.722      3.374		0.9891336064635693 | 0.0

 R   1 G 304    165      156.7       3.25		0.9791336064635693 | 0.0

 R   1 G 305    167    156.886       3.34		0.9891336064635693 | 0.008549516035404799

 R   1 G 306    165    156.662      3.363		0.9791336064635693 | 0.0

 R   1 G 307    165     156.76      3.314		0.9891336064635693 | 0.008549516035404799

 R   1 G 308    165    156.606      3.264		0.9991336064635693 | 0.008549516035404799

 R   1 G 309    165    156.748      3.301		0.9891336064635693 | 0.008549516035404799

 R   1 G 310    167     156.69      3.419		0.9891336064635693 | 0.008549516035404799

 R   1 G 311    165    156.636      3.352		0.9891336064635693 | 0.008549516035404799

 R   1 G 312    167     156.62      3.385		0.9891336064635693 | 0.008549516035404799

 R   1 G 313    165    156.662      3.451		0.9891336064635693 | 0.0

 R   1 G 314    165    156.592      3.343		0.9891336064635693 | 0.0

 R   1 G 315    165    156.668      3.224		0.9691336064635693 | 0.0

 R   1 G 316    165    156.834      3.297		0.9891336064635693 | 0.008549516035404799

 R   1 G 317    165     156.88      3.255		0.9891336064635693 | 0.0

 R   1 G 318    167    156.748      3.328		0.9891336064635693 | 0.0

 R   1 G 319    165     156.92      3.081		0.9891336064635693 | 0.008549516035404799

 R   1 G 320    165    156.856      3.213		0.9891336064635693 | 0.01

 R   1 G 321    165     156.63       3.19		0.9891336064635693 | 0.0

 R   1 G 322    165    156.852      3.118		0.9791336064635693 | 0.008549516035404799

 R   1 G 323    167    156.804      3.253		0.9891336064635693 | 0.01

 R   1 G 324    165    156.944       3.16		0.9891336064635693 | 0.008549516035404799

 R   1 G 325    163    156.748      3.109		0.9991336064635693 | 0.0

 R   1 G 326    165    156.668      3.237		0.9991336064635693 | 0.0

 R   1 G 327    165    157.016      3.244		0.9791336064635693 | 0.008549516035404799

 R   1 G 328    165    156.826       3.18		0.9991336064635693 | 0.0

 R   1 G 329    165    156.778      3.153		0.9891336064635693 | 0.0

