Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  200
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0   1496    1359.42      51.39		0.8706525965322613 | 0.13296164268902222

 R  45 G  72   1618    1595.23      7.639		1.0 | 0.011611575686803053

 R  45 G  73   1614    1594.85      8.639		1.0 | 0.011611575686803053

 R  45 G  74   1620    1593.94     10.905		1.0 | 0.011611575686803053

 R  45 G  75   1616    1595.64      7.276		1.0 | 0.021611575686803053

 R  45 G  76   1616    1595.19      7.454		1.0 | 0.011611575686803053

 R  45 G  77   1620    1595.27      6.972		1.0 | 0.011611575686803053

 R  45 G  78   1616     1595.4      8.549		1.0 | 0.011611575686803053

 R  45 G  79   1616    1594.34       7.75		1.0 | 0.011611575686803053

 R  45 G  80   1614    1594.47      7.901		1.0 | 0.021611575686803053

 R  45 G  81   1614    1595.03       8.84		1.0 | 0.011611575686803053

 R  45 G  82   1616    1594.65      7.553		1.0 | 0.011611575686803053

 R  45 G  83   1618    1594.09      7.551		1.0 | 0.011611575686803053

 R  45 G  84   1616    1594.03      9.692		1.0 | 0.011611575686803053

 R  45 G  85   1618    1595.68      9.418		1.0 | 0.011611575686803053

 R  45 G  86   1614    1594.29      8.326		1.0 | 0.011611575686803053

 R  45 G  87   1616    1592.46     14.872		1.0 | 0.011611575686803053

 R  45 G  88   1612    1594.77       9.19		1.0 | 0.011611575686803053

 R  45 G  89   1612    1595.07      7.531		1.0 | 0.011611575686803053

 R  45 G  90   1620     1594.6     10.323		1.0 | 0.0016115756868030524

 R  45 G  91   1614    1594.95     12.358		1.0 | 0.011611575686803053

 R  45 G  92   1614    1594.19     14.903		1.0 | 0.011611575686803053

 R  45 G  93   1612    1595.74      8.118		1.0 | 0.0016115756868030524

 R  45 G  94   1616    1595.63      8.603		1.0 | 0.0016115756868030524

 R  45 G  95   1616     1593.5     17.905		1.0 | 0.011611575686803053

 R  45 G  96   1612    1595.28      7.421		1.0 | 0.021611575686803053

 R  45 G  97   1616    1595.05      9.808		1.0 | 0.011611575686803053

 R  45 G  98   1618    1595.92     11.192		1.0 | 0.021611575686803053

 R  45 G  99   1616    1595.61       8.21		1.0 | 0.011611575686803053

 R  45 G 100   1614    1595.66      7.516		1.0 | 0.021611575686803053

 R  45 G 101   1620    1596.09     10.986		1.0 | 0.0016115756868030524

 R  45 G 102   1612    1595.69      7.373		1.0 | 0.0016115756868030524

 R  45 G 103   1614    1595.21     10.784		1.0 | 0.011611575686803053

 R  45 G 104   1620    1596.53      7.974		1.0 | 0.011611575686803053

 R  45 G 105   1618    1595.96      7.817		1.0 | 0.011611575686803053

 R  45 G 106   1616    1596.19      8.681		1.0 | 0.0016115756868030524

 R  45 G 107   1614     1594.5      12.07		1.0 | 0.0016115756868030524

 R  45 G 108   1616    1596.73      8.248		1.0 | 0.0016115756868030524

 R  45 G 109   1622    1596.29      9.716		1.0 | 0.0016115756868030524

 R  45 G 110   1614    1594.93      7.456		1.0 | 0.011611575686803053

 R  45 G 111   1622    1595.99      7.926		1.0 | 0.0016115756868030524

 R  45 G 112   1618    1595.66      7.419		1.0 | 0.011611575686803053

 R  45 G 113   1616    1594.91      8.501		1.0 | 0.011611575686803053

 R  45 G 114   1624    1594.66      9.149		1.0 | 0.011611575686803053

 R  45 G 115   1616    1595.11      7.956		1.0 | 0.011611575686803053

 R  45 G 116   1618    1595.04     10.868		1.0 | 0.011611575686803053

 R  45 G 117   1620    1595.89      7.473		1.0 | 0.011611575686803053

 R  45 G 118   1620    1595.52      8.355		1.0 | 0.011611575686803053

 R  45 G 119   1618    1597.09      6.913		1.0 | 0.0016115756868030524

 R  45 G 120   1616    1595.21     11.271		1.0 | 0.011611575686803053

 R  45 G 121   1620    1595.67     11.617		1.0 | 0.0016115756868030524

 R  45 G 122   1618    1595.79      7.428		1.0 | 0.0016115756868030524

 R  45 G 123   1616    1594.19      13.77		1.0 | 0.011611575686803053

 R  45 G 124   1612    1593.82     11.762		1.0 | 0.0016115756868030524

 R  45 G 125   1614    1594.75      9.257		0.99 | 0.0016115756868030524

 R  45 G 126   1616    1595.37      9.272		1.0 | 0.011611575686803053

 R  45 G 127   1616    1597.62      6.756		1.0 | 0.0016115756868030524

 R  45 G 128   1618    1595.87      9.434		1.0 | 0.0016115756868030524

 R  45 G 129   1616    1593.31     17.755		1.0 | 0.0016115756868030524

 R  45 G 130   1616    1595.29      9.987		1.0 | 0.0016115756868030524

 R  45 G 131   1612    1596.49      7.349		1.0 | 0.0016115756868030524

 R  45 G 132   1614    1596.55        8.6		1.0 | 0.0016115756868030524

 R  45 G 133   1622    1596.69      7.139		1.0 | 0.0016115756868030524

 R  45 G 134   1618    1596.32      7.554		1.0 | 0.011611575686803053

 R  45 G 135   1620    1594.99     10.304		1.0 | 0.011611575686803053

 R  45 G 136   1616    1595.02      7.416		1.0 | 0.0016115756868030524

 R  45 G 137   1614    1596.41      9.589		1.0 | 0.0016115756868030524

 R  45 G 138   1622    1595.75     12.752		1.0 | 0.0016115756868030524

 R  45 G 139   1614    1595.36      6.997		1.0 | 0.0016115756868030524

 R  45 G 140   1616    1595.78     12.153		1.0 | 0.0016115756868030524

 R  45 G 141   1618    1596.48      6.541		1.0 | 0.0016115756868030524

 R  45 G 142   1616    1596.72      7.246		1.0 | 0.0016115756868030524

 R  45 G 143   1616    1595.84      7.354		1.0 | 0.011611575686803053

 R  45 G 144   1614     1596.5      7.402		1.0 | 0.0016115756868030524

 R  45 G 145   1624    1596.88      7.668		1.0 | 0.0016115756868030524

 R  45 G 146   1616    1595.85      7.899		1.0 | 0.0016115756868030524

 R  45 G 147   1618    1595.98      7.817		1.0 | 0.0016115756868030524

 R  45 G 148   1618    1597.42      7.195		1.0 | 0.0016115756868030524

 R  45 G 149   1618    1594.56     17.369		1.0 | 0.011611575686803053

 R  45 G 150   1622    1596.77      7.613		1.0 | 0.0

 R  45 G 151   1612     1596.3      6.895		1.0 | 0.0016115756868030524

 R  45 G 152   1620    1596.69      6.979		1.0 | 0.0016115756868030524

 R  45 G 153   1612    1596.67      7.554		1.0 | 0.011611575686803053

 R  45 G 154   1618    1595.35      9.865		1.0 | 0.0016115756868030524

 R  45 G 155   1620    1597.63      6.814		1.0 | 0.0016115756868030524

 R  45 G 156   1616    1596.63      7.959		1.0 | 0.0016115756868030524

 R  45 G 157   1614    1593.27      16.58		1.0 | 0.011611575686803053

 R  45 G 158   1612    1595.71      9.507		1.0 | 0.0016115756868030524

 R  45 G 159   1618    1596.37      8.289		1.0 | 0.0

 R  45 G 160   1626    1596.66      7.596		1.0 | 0.0

 R  45 G 161   1616    1596.52      7.302		1.0 | 0.0

 R  45 G 162   1614    1594.93     10.803		1.0 | 0.0

 R  45 G 163   1620    1596.14     11.966		1.0 | 0.0

 R  45 G 164   1620    1596.93      7.926		1.0 | 0.0016115756868030524

 R  45 G 165   1616    1595.79      8.941		1.0 | 0.0016115756868030524

 R  45 G 166   1616    1596.68      8.725		1.0 | 0.0

 R  45 G 167   1614    1595.86      7.166		1.0 | 0.0

 R  45 G 168   1614     1596.4      7.334		1.0 | 0.0

 R  45 G 169   1614    1595.69      9.728		1.0 | 0.0

 R  45 G 170   1612    1597.58      7.349		1.0 | 0.0016115756868030524

 R  45 G 171   1620    1595.59     14.844		1.0 | 0.01

 R  45 G 172   1618    1596.58       7.61		1.0 | 0.0

 R  45 G 173   1616    1595.75      8.744		1.0 | 0.0

 R  45 G 174   1618    1596.23     13.623		1.0 | 0.0

 R  45 G 175   1618    1595.15     14.314		1.0 | 0.0

 R  45 G 176   1618    1596.13      7.419		1.0 | 0.01

 R  45 G 177   1614     1596.1      7.077		1.0 | 0.0

 R  45 G 178   1614    1596.58      7.336		1.0 | 0.0

 R  45 G 179   1618    1594.97     11.154		1.0 | 0.0

 R  45 G 180   1614    1596.06      6.722		1.0 | 0.01

 R  45 G 181   1620    1597.62      7.004		1.0 | 0.01

 R  45 G 182   1620    1596.77      7.311		1.0 | 0.01

 R  45 G 183   1618    1596.55      9.093		1.0 | 0.0

 R  45 G 184   1612    1595.92      7.742		1.0 | 0.0

 R  45 G 185   1614    1596.17     13.298		1.0 | 0.0

 R  45 G 186   1616    1596.53      7.612		1.0 | 0.0

 R  45 G 187   1618    1594.04     16.239		1.0 | 0.0

 R  45 G 188   1618    1595.98     11.943		1.0 | 0.0

 R  45 G 189   1614    1594.63     15.344		1.0 | 0.0

 R  45 G 190   1616    1596.39     10.086		1.0 | 0.0

 R  45 G 191   1616    1595.54     12.358		1.0 | 0.01

 R  45 G 192   1616    1593.93     19.715		1.0 | 0.0

 R  45 G 193   1616    1597.36       8.24		1.0 | 0.0

 R  45 G 194   1616    1596.99      7.032		1.0 | 0.0

 R  45 G 195   1622     1596.5      7.579		1.0 | 0.02

 R  45 G 196   1622    1597.52      7.561		1.0 | 0.0

 R  45 G 197   1616    1596.48      7.121		1.0 | 0.0

 R  45 G 198   1618    1596.48      7.548		1.0 | 0.0

 R  45 G 199   1616    1596.58      9.777		1.0 | 0.0

45   160        1.0        0.0 RawFitness
           0          0         1626

 R  46 G   0   1590    1360.38     52.765		0.9946086901645923 | 0.06830544958110474

 R  46 G   1   1592    1375.57     54.698		0.9948117134757126 | 0.09704281860099495

 R  46 G   2   1592    1397.32     59.738		0.9946086901645923 | 0.06830544958110474

 R  46 G   3   1600    1424.44     83.256		0.9946086901645923 | 0.06830544958110474

 R  46 G   4   1614    1453.43     85.639		0.9946086901645923 | 0.06830544958110474

 R  46 G   5   1610    1507.92     77.239		0.9846086901645923 | 0.06830544958110474

 R  46 G   6   1616     1548.4     53.884		0.9946086901645923 | 0.058305449581104736

 R  46 G   7   1620    1563.74     33.303		0.9946086901645923 | 0.06830544958110474

 R  46 G   8   1608    1568.01     31.538		0.9946086901645923 | 0.06830544958110474

 R  46 G   9   1608    1560.59     34.521		0.9946086901645923 | 0.06830544958110474

 R  46 G  10   1608    1563.54     32.173		0.9946086901645923 | 0.06830544958110474

 R  46 G  11   1610    1563.25     38.091		0.9946086901645923 | 0.06830544958110474

 R  46 G  12   1612     1566.3     30.547		0.9946086901645923 | 0.06830544958110474

 R  46 G  13   1604    1568.34     28.747		0.9946086901645923 | 0.06830544958110474

 R  46 G  14   1612    1567.52       35.0		0.9946086901645923 | 0.06830544958110474

 R  46 G  15   1612    1567.73     33.777		0.9946086901645923 | 0.06830544958110474

 R  46 G  16   1612    1573.67     28.382		0.9946086901645923 | 0.06830544958110474

 R  46 G  17   1608    1574.62     27.635		0.9946086901645923 | 0.06830544958110474

 R  46 G  18   1610    1578.56       22.0		0.9946086901645923 | 0.06830544958110474

 R  46 G  19   1612    1578.54     22.587		1.0 | 0.06830544958110474

 R  46 G  20   1614    1578.58     24.376		0.9946086901645923 | 0.06830544958110474

 R  46 G  21   1608    1581.26      19.16		0.9946086901645923 | 0.06830544958110474

 R  46 G  22   1612     1583.5     19.442		0.9946086901645923 | 0.058305449581104736

 R  46 G  23   1610    1581.88     18.667		1.0 | 0.06830544958110474

 R  46 G  24   1614    1582.39     21.233		1.0 | 0.06830544958110474

 R  46 G  25   1610    1583.59     18.507		1.0 | 0.06830544958110474

 R  46 G  26   1612    1584.27     16.422		0.9946086901645923 | 0.058305449581104736

 R  46 G  27   1608    1583.54     16.135		1.0 | 0.06830544958110474

 R  46 G  28   1610    1587.48     11.705		1.0 | 0.06830544958110474

 R  46 G  29   1608    1587.49      9.109		1.0 | 0.06830544958110474

 R  46 G  30   1614    1587.11     14.688		1.0 | 0.06830544958110474

 R  46 G  31   1616    1586.59      9.468		1.0 | 0.06830544958110474

 R  46 G  32   1612    1586.24      11.68		1.0 | 0.06830544958110474

 R  46 G  33   1608    1586.62      8.096		1.0 | 0.06830544958110474

 R  46 G  34   1610    1586.36       9.24		1.0 | 0.06830544958110474

 R  46 G  35   1610    1586.52      9.993		1.0 | 0.06830544958110474

 R  46 G  36   1616     1587.2      11.87		1.0 | 0.06830544958110474

 R  46 G  37   1610    1586.38      8.884		1.0 | 0.06830544958110474

 R  46 G  38   1610     1586.9      9.544		1.0 | 0.06830544958110474

 R  46 G  39   1614     1586.9      9.273		1.0 | 0.06830544958110474

 R  46 G  40   1612    1587.72      9.653		1.0 | 0.06830544958110474

 R  46 G  41   1612     1587.5      9.249		1.0 | 0.06830544958110474

 R  46 G  42   1616    1585.52     14.457		1.0 | 0.06830544958110474

 R  46 G  43   1614    1586.88      8.697		1.0 | 0.06830544958110474

 R  46 G  44   1612    1586.84      8.873		1.0 | 0.06830544958110474

 R  46 G  45   1614    1586.15      10.36		1.0 | 0.06830544958110474

 R  46 G  46   1614    1586.78      8.688		1.0 | 0.06830544958110474

 R  46 G  47   1612    1586.51      8.987		1.0 | 0.06830544958110474

 R  46 G  48   1610    1586.23      8.738		1.0 | 0.06830544958110474

 R  46 G  49   1610     1586.0      9.999		1.0 | 0.06830544958110474

 R  46 G  50   1608     1587.0       9.19		1.0 | 0.06830544958110474

 R  46 G  51   1608    1586.69      8.952		1.0 | 0.06830544958110474

 R  46 G  52   1612    1588.03      8.548		1.0 | 0.06830544958110474

 R  46 G  53   1612    1586.43      8.854		1.0 | 0.06830544958110474

 R  46 G  54   1610    1586.23     13.031		1.0 | 0.058305449581104736

 R  46 G  55   1610    1586.57     11.571		1.0 | 0.06830544958110474

 R  46 G  56   1604    1585.98     10.093		1.0 | 0.06830544958110474

 R  46 G  57   1612    1587.31      8.796		1.0 | 0.06830544958110474

 R  46 G  58   1608     1586.1     10.462		1.0 | 0.06830544958110474

 R  46 G  59   1610    1586.82      8.289		1.0 | 0.06830544958110474

 R  46 G  60   1616    1586.42        8.6		1.0 | 0.058305449581104736

 R  46 G  61   1612    1587.06      9.474		1.0 | 0.058305449581104736

 R  46 G  62   1610    1586.91      9.552		1.0 | 0.058305449581104736

 R  46 G  63   1608    1585.98     10.355		1.0 | 0.06830544958110474

 R  46 G  64   1612    1585.99     12.514		1.0 | 0.06830544958110474

 R  46 G  65   1612    1585.83     17.341		1.0 | 0.058305449581104736

 R  46 G  66   1606    1587.87      8.284		1.0 | 0.058305449581104736

 R  46 G  67   1610    1586.96     10.821		1.0 | 0.058305449581104736

 R  46 G  68   1612     1588.3      9.789		1.0 | 0.058305449581104736

 R  46 G  69   1612    1587.39      8.666		1.0 | 0.06830544958110474

 R  46 G  70   1610    1587.16      8.814		1.0 | 0.058305449581104736

 R  46 G  71   1612    1586.99     12.568		1.0 | 0.048305449581104734

 R  46 G  72   1610    1588.46      9.249		1.0 | 0.058305449581104736

 R  46 G  73   1608    1588.24      10.07		1.0 | 0.058305449581104736

 R  46 G  74   1610    1586.06     11.943		1.0 | 0.06830544958110474

 R  46 G  75   1614    1589.58      9.209		1.0 | 0.058305449581104736

 R  46 G  76   1610     1587.6      8.924		1.0 | 0.058305449581104736

 R  46 G  77   1614    1587.99     12.078		1.0 | 0.058305449581104736

 R  46 G  78   1614    1587.35     10.243		1.0 | 0.058305449581104736

 R  46 G  79   1612    1587.38      9.165		1.0 | 0.058305449581104736

 R  46 G  80   1604    1587.25      8.256		1.0 | 0.058305449581104736

 R  46 G  81   1614    1588.03     10.441		1.0 | 0.058305449581104736

 R  46 G  82   1608    1588.91      8.259		1.0 | 0.058305449581104736

 R  46 G  83   1604    1588.31       7.96		1.0 | 0.058305449581104736

 R  46 G  84   1612    1588.76     10.763		1.0 | 0.06830544958110474

 R  46 G  85   1610    1588.06       9.21		1.0 | 0.058305449581104736

 R  46 G  86   1608    1587.24      12.71		1.0 | 0.058305449581104736

 R  46 G  87   1610    1587.89      8.816		1.0 | 0.058305449581104736

 R  46 G  88   1610    1587.84      7.772		1.0 | 0.058305449581104736

 R  46 G  89   1612    1589.25      8.891		1.0 | 0.058305449581104736

 R  46 G  90   1614    1588.55       9.19		1.0 | 0.058305449581104736

 R  46 G  91   1610    1587.67       8.52		1.0 | 0.058305449581104736

 R  46 G  92   1610    1587.63     10.071		1.0 | 0.058305449581104736

 R  46 G  93   1608    1587.99      8.729		1.0 | 0.058305449581104736

 R  46 G  94   1612    1587.56       9.37		1.0 | 0.058305449581104736

 R  46 G  95   1618    1589.44      9.334		1.0 | 0.058305449581104736

 R  46 G  96   1614    1587.88     11.311		1.0 | 0.058305449581104736

 R  46 G  97   1610    1588.93      8.826		1.0 | 0.03830544958110473

 R  46 G  98   1616     1588.9      9.185		1.0 | 0.058305449581104736

 R  46 G  99   1612    1588.99      8.252		1.0 | 0.058305449581104736

 R  46 G 100   1610    1588.35      7.538		1.0 | 0.058305449581104736

 R  46 G 101   1612    1588.88     10.886		1.0 | 0.058305449581104736

 R  46 G 102   1610    1589.06      8.332		1.0 | 0.058305449581104736

 R  46 G 103   1610    1588.97      8.196		1.0 | 0.03830544958110473

 R  46 G 104   1616    1589.93     11.593		1.0 | 0.03830544958110473

 R  46 G 105   1614    1591.05      8.269		1.0 | 0.03830544958110473

 R  46 G 106   1616    1591.54      9.055		1.0 | 0.03830544958110473

 R  46 G 107   1616    1590.56      8.668		1.0 | 0.03830544958110473

 R  46 G 108   1608    1589.73     10.028		1.0 | 0.048305449581104734

 R  46 G 109   1614    1589.91     12.703		1.0 | 0.03830544958110473

 R  46 G 110   1614    1590.93       8.32		1.0 | 0.03830544958110473

 R  46 G 111   1610     1590.6     11.811		1.0 | 0.03830544958110473

 R  46 G 112   1612    1591.08      8.137		1.0 | 0.03830544958110473

 R  46 G 113   1608    1592.29      10.87		1.0 | 0.02830544958110473

 R  46 G 114   1614    1591.96      7.848		1.0 | 0.03830544958110473

 R  46 G 115   1618    1591.27      9.171		1.0 | 0.03830544958110473

 R  46 G 116   1612    1591.74      8.488		1.0 | 0.018305449581104728

 R  46 G 117   1610    1591.54      9.873		1.0 | 0.03830544958110473

 R  46 G 118   1614    1592.13     12.102		1.0 | 0.02830544958110473

 R  46 G 119   1614    1592.06      7.542		1.0 | 0.03830544958110473

 R  46 G 120   1610    1591.87      7.326		1.0 | 0.03830544958110473

 R  46 G 121   1612     1592.7      8.007		1.0 | 0.018305449581104728

 R  46 G 122   1614    1592.28      9.407		1.0 | 0.03830544958110473

 R  46 G 123   1614    1592.88      8.446		1.0 | 0.02830544958110473

 R  46 G 124   1616    1592.78      9.024		1.0 | 0.018305449581104728

 R  46 G 125   1616    1592.02      8.781		1.0 | 0.03830544958110473

 R  46 G 126   1614    1592.49     10.724		1.0 | 0.03830544958110473

 R  46 G 127   1612    1591.71     14.652		1.0 | 0.018305449581104728

 R  46 G 128   1612    1590.33     18.852		1.0 | 0.03830544958110473

 R  46 G 129   1614    1592.71     12.431		1.0 | 0.03830544958110473

 R  46 G 130   1612    1592.89     14.239		1.0 | 0.018305449581104728

 R  46 G 131   1616    1594.33      7.814		1.0 | 0.02830544958110473

 R  46 G 132   1614    1593.92      7.616		1.0 | 0.018305449581104728

 R  46 G 133   1614    1593.52     10.505		1.0 | 0.008305449581104728

 R  46 G 134   1612    1593.73     11.177		1.0 | 0.018305449581104728

 R  46 G 135   1616     1594.1      8.668		1.0 | 0.018305449581104728

 R  46 G 136   1618    1593.93      8.467		1.0 | 0.008305449581104728

 R  46 G 137   1616    1594.64      8.679		1.0 | 0.018305449581104728

 R  46 G 138   1616    1594.13       9.73		1.0 | 0.018305449581104728

 R  46 G 139   1616    1594.84      7.596		1.0 | 0.008305449581104728

 R  46 G 140   1618    1594.83      8.115		1.0 | 0.008305449581104728

 R  46 G 141   1614    1593.52      9.462		1.0 | 0.008305449581104728

 R  46 G 142   1618     1594.9      7.809		1.0 | 0.008305449581104728

 R  46 G 143   1620    1594.86      9.623		1.0 | 0.008305449581104728

 R  46 G 144   1614    1594.85     10.525		1.0 | 0.018305449581104728

 R  46 G 145   1616     1594.8       8.57		1.0 | 0.008305449581104728

 R  46 G 146   1616    1594.56     13.862		1.0 | 0.018305449581104728

 R  46 G 147   1616    1595.62      9.176		1.0 | 0.008305449581104728

 R  46 G 148   1614    1595.46       8.36		1.0 | 0.008305449581104728

 R  46 G 149   1616    1595.95       7.93		1.0 | 0.008305449581104728

 R  46 G 150   1622    1595.61      8.039		1.0 | 0.008305449581104728

 R  46 G 151   1614    1594.98     10.368		1.0 | 0.008305449581104728

 R  46 G 152   1624    1595.95       7.73		1.0 | 0.018305449581104728

 R  46 G 153   1614    1595.51      8.183		1.0 | 0.008305449581104728

 R  46 G 154   1618     1596.6      7.473		1.0 | 0.0

 R  46 G 155   1614    1595.54     12.043		1.0 | 0.008305449581104728

 R  46 G 156   1620    1596.05      8.014		1.0 | 0.0

 R  46 G 157   1614     1596.6      9.874		1.0 | 0.008305449581104728

 R  46 G 158   1616    1595.56      7.058		1.0 | 0.008305449581104728

 R  46 G 159   1616    1595.54      7.456		1.0 | 0.008305449581104728

 R  46 G 160   1614    1595.48     11.586		1.0 | 0.008305449581104728

 R  46 G 161   1618    1595.42       7.56		1.0 | 0.008305449581104728

 R  46 G 162   1616    1596.63      7.971		1.0 | 0.008305449581104728

 R  46 G 163   1614     1595.2      9.273		1.0 | 0.0

 R  46 G 164   1614    1593.89       9.85		1.0 | 0.008305449581104728

 R  46 G 165   1616    1595.32      8.455		1.0 | 0.008305449581104728

 R  46 G 166   1618    1596.01       7.92		1.0 | 0.008305449581104728

 R  46 G 167   1614    1595.46      7.961		1.0 | 0.008305449581104728

 R  46 G 168   1618    1594.77     11.363		1.0 | 0.008305449581104728

 R  46 G 169   1620    1595.48      9.963		1.0 | 0.008305449581104728

 R  46 G 170   1616    1595.49      7.579		1.0 | 0.008305449581104728

 R  46 G 171   1612    1595.07      9.314		1.0 | 0.008305449581104728

 R  46 G 172   1614    1595.86      7.697		1.0 | 0.008305449581104728

 R  46 G 173   1614    1595.28      7.632		1.0 | 0.008305449581104728

 R  46 G 174   1614    1596.21      10.57		1.0 | 0.0

 R  46 G 175   1616    1595.41     13.682		1.0 | 0.008305449581104728

 R  46 G 176   1614    1596.48      8.699		1.0 | 0.008305449581104728

 R  46 G 177   1620    1596.64      7.388		1.0 | 0.008305449581104728

 R  46 G 178   1618    1596.11      7.468		1.0 | 0.0

 R  46 G 179   1616    1596.69      7.522		1.0 | 0.0

 R  46 G 180   1616     1597.0      9.536		1.0 | 0.0

 R  46 G 181   1618    1597.02      6.796		1.0 | 0.0

 R  46 G 182   1614    1596.24      7.349		1.0 | 0.0

 R  46 G 183   1614    1596.06      7.304		1.0 | 0.0

 R  46 G 184   1618    1596.21      7.272		1.0 | 0.008305449581104728

 R  46 G 185   1618    1596.79      7.827		1.0 | 0.0

 R  46 G 186   1616    1595.78      9.865		1.0 | 0.0

 R  46 G 187   1612    1595.85      7.651		1.0 | 0.0

 R  46 G 188   1618    1596.06      7.848		1.0 | 0.008305449581104728

 R  46 G 189   1616    1596.37      7.843		1.0 | 0.0

 R  46 G 190   1618     1596.3      8.042		1.0 | 0.0

 R  46 G 191   1614    1596.09      7.601		1.0 | 0.0

 R  46 G 192   1610    1594.84      7.659		1.0 | 0.0

 R  46 G 193   1614    1594.49      12.87		1.0 | 0.008305449581104728

 R  46 G 194   1614    1596.28      9.151		1.0 | 0.008305449581104728

 R  46 G 195   1614    1595.98      7.791		1.0 | 0.0

 R  46 G 196   1614     1595.0      13.27		1.0 | 0.008305449581104728

 R  46 G 197   1620    1596.37      7.351		1.0 | 0.0

 R  46 G 198   1622    1595.26     14.138		1.0 | 0.0

 R  46 G 199   1620    1596.19     11.814		1.0 | 0.008305449581104728

46   152        1.0########### RawFitness
           0          0         1624

 R  47 G   0   1548    1364.28     53.303		0.9987053386715862 | 0.27347483675621354

 R  47 G   1   1570    1374.62     52.839		0.9987053386715862 | 0.27347483675621354

 R  47 G   2   1578    1394.53     62.508		0.9987053386715862 | 0.27347483675621354

 R  47 G   3   1582    1420.15     71.528		0.9987053386715862 | 0.27347483675621354

 R  47 G   4   1578    1458.59     76.582		0.9987053386715862 | 0.27347483675621354

 R  47 G   5   1582    1498.88     73.819		0.9987053386715862 | 0.27347483675621354

 R  47 G   6   1588     1534.6     50.503		0.9987053386715862 | 0.27347483675621354

 R  47 G   7   1590    1546.94     34.907		0.9987053386715862 | 0.27347483675621354

 R  47 G   8   1590    1551.12     22.631		0.9987053386715862 | 0.27347483675621354

 R  47 G   9   1588    1551.98     22.045		0.9987053386715862 | 0.27347483675621354

 R  47 G  10   1590    1553.15     19.123		0.9987053386715862 | 0.27347483675621354

 R  47 G  11   1592    1554.87     20.261		0.9987053386715862 | 0.27347483675621354

 R  47 G  12   1590    1553.23     22.122		0.9987053386715862 | 0.27347483675621354

 R  47 G  13   1578    1551.22     21.777		0.9987053386715862 | 0.27347483675621354

 R  47 G  14   1582     1553.0     18.842		0.9987053386715862 | 0.27347483675621354

 R  47 G  15   1588    1551.24     22.916		0.9987053386715862 | 0.2634748367562135

 R  47 G  16   1588    1550.29     24.776		0.9987053386715862 | 0.27347483675621354

 R  47 G  17   1588    1549.17     25.328		0.9987053386715862 | 0.27347483675621354

 R  47 G  18   1588    1552.59     18.328		1.0 | 0.27347483675621354

 R  47 G  19   1598    1552.49     21.734		0.9987053386715862 | 0.27347483675621354

 R  47 G  20   1582    1553.14     18.522		0.9987053386715862 | 0.27347483675621354

 R  47 G  21   1590    1552.94     17.287		0.9987053386715862 | 0.27347483675621354

 R  47 G  22   1590    1553.82     18.504		0.9987053386715862 | 0.27347483675621354

 R  47 G  23   1586    1550.78     21.577		0.9987053386715862 | 0.27347483675621354

 R  47 G  24   1592    1552.34     19.862		0.9987053386715862 | 0.27347483675621354

 R  47 G  25   1590    1550.15     27.979		0.9987053386715862 | 0.27347483675621354

 R  47 G  26   1590    1552.14     22.114		0.9987053386715862 | 0.27347483675621354

 R  47 G  27   1586    1552.21     21.921		0.9987053386715862 | 0.27347483675621354

 R  47 G  28   1590     1551.4     26.095		0.9987053386715862 | 0.27347483675621354

 R  47 G  29   1592    1551.93     20.367		0.9987053386715862 | 0.27347483675621354

 R  47 G  30   1592    1552.81     22.227		0.9987053386715862 | 0.27347483675621354

 R  47 G  31   1588    1554.44     20.283		0.9987053386715862 | 0.27347483675621354

 R  47 G  32   1588    1550.28     24.731		0.9987053386715862 | 0.27347483675621354

 R  47 G  33   1588    1552.77     21.408		0.9987053386715862 | 0.27347483675621354

 R  47 G  34   1588    1551.89     24.551		0.9987053386715862 | 0.27347483675621354

 R  47 G  35   1592    1549.67     29.104		0.9987053386715862 | 0.27347483675621354

 R  47 G  36   1590    1554.38     18.079		0.9987053386715862 | 0.2634748367562135

 R  47 G  37   1590    1555.62     16.591		0.9987053386715862 | 0.27347483675621354

 R  47 G  38   1586    1551.17     19.409		0.9987053386715862 | 0.27347483675621354

 R  47 G  39   1592    1552.46     21.721		0.9987053386715862 | 0.27347483675621354

