Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923

 R  45 G 383    138    123.676      4.862		0.0667413133784458 | 0.01

 R  45 G 384    140    124.096      4.917		0.0667413133784458 | 0.01

 R  45 G 385    144    124.094       4.63		0.08674131337844579 | 0.0

 R  45 G 386    138    123.784      4.838		0.0767413133784458 | 0.01

 R  45 G 387    142    123.984      4.752		0.0667413133784458 | 0.0

 R  45 G 388    138     124.14      4.737		0.0667413133784458 | 0.03

 R  45 G 389    138    123.942      4.693		0.08674131337844579 | 0.0

 R  45 G 390    138    124.188      4.769		0.0667413133784458 | 0.01

 R  45 G 391    140    123.888      4.832		0.0667413133784458 | 0.0

 R  45 G 392    138    123.776      4.612		0.0667413133784458 | 0.0

 R  45 G 393    140    124.104      4.715		0.08674131337844579 | 0.0

 R  45 G 394    138    124.208       4.64		0.0667413133784458 | 0.0

 R  45 G 395    140    124.012      4.763		0.0667413133784458 | 0.01

 R  45 G 396    138    123.926      4.711		0.0667413133784458 | 0.0

 R  45 G 397    138    124.064      4.729		0.0767413133784458 | 0.01

 R  45 G 398    140    124.108       4.96		0.0667413133784458 | 0.0

 R  45 G 399    140    124.042       4.78		0.0667413133784458 | 0.0

 R  45 G 400    138    124.032      4.744		0.0667413133784458 | 0.01

 R  45 G 401    136    123.796      4.632		0.0667413133784458 | 0.0

 R  45 G 402    142    123.992       4.75		0.0667413133784458 | 0.01

 R  45 G 403    142    123.856      4.857		0.0767413133784458 | 0.01

 R  45 G 404    142    123.746      4.762		0.0767413133784458 | 0.01

 R  45 G 405    140    123.806       5.01		0.0667413133784458 | 0.01

 R  45 G 406    144     123.99      4.788		0.0667413133784458 | 0.01

 R  45 G 407    142     124.07      4.867		0.0667413133784458 | 0.01

 R  45 G 408    138    124.024        4.7		0.0667413133784458 | 0.0

 R  45 G 409    144    123.894      4.681		0.0567413133784458 | 0.01

 R  45 G 410    140    124.226      4.666		0.0767413133784458 | 0.01

 R  45 G 411    140     124.32      4.561		0.08674131337844579 | 0.01

 R  45 G 412    140    123.964      4.629		0.0567413133784458 | 0.02

 R  45 G 413    138    123.656      4.738		0.0767413133784458 | 0.02

 R  45 G 414    140    124.076      4.611		0.08674131337844579 | 0.01

 R  45 G 415    138    124.036      4.712		0.0667413133784458 | 0.02

 R  45 G 416    138    123.792      4.631		0.0667413133784458 | 0.0

 R  45 G 417    140    124.048       4.73		0.0667413133784458 | 0.0

 R  45 G 418    140    123.878      4.578		0.0667413133784458 | 0.0

 R  45 G 419    140    124.006      4.499		0.0667413133784458 | 0.01

 R  45 G 420    138    123.976      4.589		0.0667413133784458 | 0.02

 R  45 G 421    140    123.832      4.617		0.0667413133784458 | 0.0

 R  45 G 422    142    123.962      4.653		0.0667413133784458 | 0.0

 R  45 G 423    138    124.088      4.742		0.08674131337844579 | 0.01

 R  45 G 424    142    123.962      4.754		0.0667413133784458 | 0.0

 R  45 G 425    140    123.806      4.731		0.0667413133784458 | 0.01

 R  45 G 426    140    124.052      4.512		0.09674131337844578 | 0.01

 R  45 G 427    138    124.062      4.737		0.0667413133784458 | 0.0

 R  45 G 428    142    124.246      4.789		0.0667413133784458 | 0.0

 R  45 G 429    140    123.792      4.663		0.0567413133784458 | 0.01

 R  45 G 430    136     123.69      4.648		0.0667413133784458 | 0.0

 R  45 G 431    138    123.994      4.684		0.0567413133784458 | 0.01

 R  45 G 432    142    123.834      4.625		0.0667413133784458 | 0.0

 R  45 G 433    140    124.182      4.673		0.0767413133784458 | 0.0

 R  45 G 434    140    124.192      4.498		0.0667413133784458 | 0.0

 R  45 G 435    140    123.702      4.799		0.0667413133784458 | 0.01

 R  45 G 436    138    124.088      4.617		0.08674131337844579 | 0.01

 R  45 G 437    140    123.818      4.679		0.0567413133784458 | 0.01

 R  45 G 438    140    123.838      4.719		0.0667413133784458 | 0.0

 R  45 G 439    138    123.746      4.638		0.08674131337844579 | 0.01

 R  45 G 440    142    123.798      4.808		0.0667413133784458 | 0.0

 R  45 G 441    138    124.072      4.598		0.0567413133784458 | 0.01

 R  45 G 442    140    124.006      4.803		0.0667413133784458 | 0.01

 R  45 G 443    144    124.062      4.771		0.08674131337844579 | 0.01

 R  45 G 444    140    124.188      4.731		0.08674131337844579 | 0.01

 R  45 G 445    140     123.94      4.586		0.0667413133784458 | 0.0

 R  45 G 446    140    124.202       4.67		0.0667413133784458 | 0.01

 R  45 G 447    138    124.284      4.556		0.0667413133784458 | 0.0

 R  45 G 448    142    124.128       4.81		0.0667413133784458 | 0.0

 R  45 G 449    138    123.874      4.591		0.08674131337844579 | 0.01

 R  45 G 450    140    123.876      4.633		0.08674131337844579 | 0.01

 R  45 G 451    140    123.784        4.7		0.08674131337844579 | 0.01

 R  45 G 452    142    124.058      4.909		0.08674131337844579 | 0.0

 R  45 G 453    140    123.812      4.671		0.0567413133784458 | 0.01

 R  45 G 454    140    124.024      4.833		0.0767413133784458 | 0.0

 R  45 G 455    142    124.044      4.702		0.0667413133784458 | 0.01

 R  45 G 456    138    124.102      4.798		0.08674131337844579 | 0.0

 R  45 G 457    140    124.206       4.81		0.0667413133784458 | 0.01

 R  45 G 458    140    124.044      4.761		0.0567413133784458 | 0.01

 R  45 G 459    144     123.94       4.89		0.0567413133784458 | 0.01

 R  45 G 460    138    123.836      4.617		0.046741313378445795 | 0.01

 R  45 G 461    138    123.906      4.752		0.0567413133784458 | 0.01

 R  45 G 462    142    124.028      4.569		0.0667413133784458 | 0.0

 R  45 G 463    138    124.132      4.775		0.0567413133784458 | 0.01

 R  45 G 464    140    124.258      4.649		0.0567413133784458 | 0.01

 R  45 G 465    140    123.866      4.734		0.0667413133784458 | 0.0

 R  45 G 466    142     123.97      4.555		0.0567413133784458 | 0.01

 R  45 G 467    144    124.174      4.674		0.0767413133784458 | 0.0

 R  45 G 468    138    123.978      4.683		0.0667413133784458 | 0.01

 R  45 G 469    140     123.99      4.846		0.0667413133784458 | 0.0

 R  45 G 470    142    123.982      4.871		0.0667413133784458 | 0.01

 R  45 G 471    140    123.772      4.711		0.0667413133784458 | 0.0

 R  45 G 472    140    123.932      4.747		0.0567413133784458 | 0.02

 R  45 G 473    140    123.894      4.628		0.0767413133784458 | 0.0

 R  45 G 474    138    124.084      4.624		0.0567413133784458 | 0.01

 R  45 G 475    138    123.918      4.529		0.0667413133784458 | 0.01

 R  45 G 476    138    123.722      4.823		0.0667413133784458 | 0.01

 R  45 G 477    138    124.092      4.684		0.09674131337844578 | 0.0

 R  45 G 478    138    123.794      4.758		0.0567413133784458 | 0.01

 R  45 G 479    138    123.822      4.759		0.0567413133784458 | 0.01

 R  45 G 480    142    124.088       4.85		0.0567413133784458 | 0.01

 R  45 G 481    144    123.974      4.882		0.0567413133784458 | 0.01

 R  45 G 482    142    124.026      4.639		0.0667413133784458 | 0.01

 R  45 G 483    138      123.8      4.712		0.0567413133784458 | 0.01

 R  45 G 484    140    124.092      4.721		0.0567413133784458 | 0.01

 R  45 G 485    140    124.068      4.843		0.0767413133784458 | 0.0

 R  45 G 486    138    123.822      4.686		0.0567413133784458 | 0.01

 R  45 G 487    140     123.82      4.643		0.0567413133784458 | 0.01

 R  45 G 488    138    123.776      4.672		0.046741313378445795 | 0.01

 R  45 G 489    138    123.942      4.606		0.0667413133784458 | 0.01

 R  45 G 490    142    123.578      4.623		0.0567413133784458 | 0.01

 R  45 G 491    142    123.934      4.652		0.046741313378445795 | 0.01

 R  45 G 492    138    123.888      4.554		0.0567413133784458 | 0.01

 R  45 G 493    138    123.782      4.615		0.0567413133784458 | 0.01

 R  45 G 494    138    123.776       4.68		0.0567413133784458 | 0.0

 R  45 G 495    140    123.912      4.647		0.0667413133784458 | 0.01

 R  45 G 496    138    123.972      4.487		0.046741313378445795 | 0.01

 R  45 G 497    138    123.784      4.583		0.0567413133784458 | 0.01

 R  45 G 498    138    124.052      4.496		0.0667413133784458 | 0.01

 R  45 G 499    138    124.074      4.557		0.0567413133784458 | 0.0

45   102###########       0.01 RawFitness
           0          0          152

 R  46 G   0    144    119.184       7.93		0.5525437869981908 | 0.4730168204046462

 R  46 G   1    144    119.476      8.038		0.29277810540856775 | 0.7874010761435091

 R  46 G   2    144    120.382      7.634		0.7681683055192918 | 0.26140186754664985

 R  46 G   3    144    121.042       7.33		0.05240282329527035 | 0.9132166580415559

 R  46 G   4    144    121.122      7.366		0.558957981732129 | 0.011374093856706069

 R  46 G   5    144    121.688      7.004		0.4227545927518218 | 0.12343062257762893

 R  46 G   6    142    121.364      7.054		0.6133468380006802 | 0.1961498725969124

 R  46 G   7    142    121.768      6.885		0.19436006058813282 | 0.37385411490798914

 R  46 G   8    144    122.004      6.889		0.6838604607825022 | 0.04261343160104969

 R  46 G   9    142    121.804      6.747		0.1843600605881328 | 0.37385411490798914

 R  46 G  10    144    121.994      6.721		0.8234332489523187 | 0.04800599471208078

 R  46 G  11    142    122.654      6.635		0.32127871723228085 | 0.19812064920153194

 R  46 G  12    144    122.064       6.46		0.2866532647893165 | 0.20344005829862266

 R  46 G  13    144    122.464      6.285		0.19436006058813282 | 0.37385411490798914

 R  46 G  14    146     122.56      6.293		0.16688293790313313 | 0.046521106906097454

 R  46 G  15    142     122.74       6.08		0.4227545927518218 | 0.12343062257762893

 R  46 G  16    146     122.91      6.097		0.5515913718549195 | 0.2279304952674629

 R  46 G  17    144     122.92      5.979		0.5515913718549195 | 0.2279304952674629

 R  46 G  18    142    122.972      5.957		0.16688293790313313 | 0.046521106906097454

 R  46 G  19    142    123.544      5.586		0.16688293790313313 | 0.046521106906097454

 R  46 G  20    142    123.274      5.707		0.6838604607825022 | 0.04261343160104969

 R  46 G  21    142     123.19      5.783		0.18489507997535148 | 0.00811700457298925

 R  46 G  22    140    123.318      5.811		0.16688293790313313 | 0.046521106906097454

 R  46 G  23    140    123.526      5.783		0.5966249185117212 | 0.12412915159506577

 R  46 G  24    142    123.182      5.942		0.2271801912836885 | 0.007164401869451775

 R  46 G  25    144     123.56      5.512		0.18489507997535148 | 0.00811700457298925

 R  46 G  26    140    123.572      5.654		0.16688293790313313 | 0.046521106906097454

 R  46 G  27    140    123.762      5.623		0.16688293790313313 | 0.046521106906097454

 R  46 G  28    142    123.696      5.442		0.16688293790313313 | 0.046521106906097454

 R  46 G  29    140     123.17      5.501		0.06900519266205839 | 0.036848374232175685

 R  46 G  30    142    123.646      5.613		0.1948950799753515 | 0.00811700457298925

 R  46 G  31    142    123.252      5.815		0.16688293790313313 | 0.046521106906097454

 R  46 G  32    144    122.982      5.663		0.18489507997535148 | 0.00811700457298925

 R  46 G  33    144    123.638      5.729		0.16688293790313313 | 0.046521106906097454

 R  46 G  34    142    123.348      5.645		0.16688293790313313 | 0.046521106906097454

 R  46 G  35    140    123.694      5.592		0.18489507997535148 | 0.0

 R  46 G  36    140    123.412      5.489		0.6938604607825022 | 0.04261343160104969

 R  46 G  37    142    123.904      5.662		0.16688293790313313 | 0.046521106906097454

 R  46 G  38    142      123.6      5.584		0.16688293790313313 | 0.06652110690609746

 R  46 G  39    140     123.55      5.621		0.16688293790313313 | 0.046521106906097454

 R  46 G  40    140    123.416      5.642		0.8234332489523187 | 0.04800599471208078

 R  46 G  41    144    123.656      5.558		0.16688293790313313 | 0.046521106906097454

 R  46 G  42    144    123.574       5.63		0.8234332489523187 | 0.04800599471208078

 R  46 G  43    142    123.514      5.521		0.18489507997535148 | 0.0

 R  46 G  44    140    123.982      5.559		0.6938604607825022 | 0.04261343160104969

 R  46 G  45    140    123.514      5.768		0.18489507997535148 | 0.0

 R  46 G  46    140     123.62      5.791		0.6938604607825022 | 0.04261343160104969

 R  46 G  47    142     123.67      5.633		0.18489507997535148 | 0.00811700457298925

 R  46 G  48    144    123.876      5.444		0.8234332489523187 | 0.04800599471208078

 R  46 G  49    142     123.98      5.516		0.16688293790313313 | 0.056521106906097456

 R  46 G  50    144    123.524      5.847		0.16688293790313313 | 0.046521106906097454

 R  46 G  51    144    123.526      5.361		0.18489507997535148 | 0.018117004572989252

 R  46 G  52    140    123.394      5.452		0.18489507997535148 | 0.00811700457298925

 R  46 G  53    140    123.474      5.349		0.16688293790313313 | 0.056521106906097456

 R  46 G  54    144    123.586      5.417		0.1948950799753515 | 0.0

 R  46 G  55    140     123.91      5.567		0.18489507997535148 | 0.0

 R  46 G  56    142     123.63      5.565		0.18489507997535148 | 0.00811700457298925

 R  46 G  57    144     123.47      5.659		0.18489507997535148 | 0.0

 R  46 G  58    142    123.442      5.329		0.16688293790313313 | 0.056521106906097456

 R  46 G  59    144     123.92       5.51		0.16688293790313313 | 0.046521106906097454

 R  46 G  60    142    123.828      5.549		0.18489507997535148 | 0.00811700457298925

 R  46 G  61    142    123.604      5.744		0.8334332489523187 | 0.04800599471208078

 R  46 G  62    138    123.784       5.36		0.18489507997535148 | 0.0

 R  46 G  63    142    123.882      5.528		0.15688293790313312 | 0.046521106906097454

 R  46 G  64    144    123.726      5.761		0.16688293790313313 | 0.06652110690609746

 R  46 G  65    142    123.702      5.564		0.8234332489523187 | 0.03800599471208078

 R  46 G  66    144    123.896      5.642		0.17489507997535148 | 0.018117004572989252

 R  46 G  67    140    123.612      5.659		0.8234332489523187 | 0.03800599471208078

 R  46 G  68    146     123.99      5.492		0.16688293790313313 | 0.056521106906097456

 R  46 G  69    142    123.244      5.469		0.17688293790313314 | 0.06652110690609746

 R  46 G  70    142    123.632      5.606		0.1948950799753515 | 0.0

 R  46 G  71    140    123.482      5.447		0.15688293790313312 | 0.046521106906097454

 R  46 G  72    140    123.378       5.68		0.1948950799753515 | 0.0

 R  46 G  73    138     123.32      5.578		0.1948950799753515 | 0.0

 R  46 G  74    142    124.036      5.551		0.16688293790313313 | 0.046521106906097454

 R  46 G  75    140    123.714      5.532		0.18489507997535148 | 0.0

 R  46 G  76    142    123.648      5.582		0.16688293790313313 | 0.046521106906097454

 R  46 G  77    144    123.994      5.497		0.17489507997535148 | 0.0

 R  46 G  78    138    123.874      5.537		0.18489507997535148 | 0.0

 R  46 G  79    144    123.646       5.39		0.8234332489523187 | 0.03800599471208078

 R  46 G  80    144    123.906      5.419		0.18489507997535148 | 0.0

 R  46 G  81    140    123.664       5.44		0.18489507997535148 | 0.0

 R  46 G  82    142    123.706      5.518		0.1948950799753515 | 0.0

 R  46 G  83    144    123.558       5.43		0.18489507997535148 | 0.01

 R  46 G  84    144    123.708      5.536		0.18489507997535148 | 0.01

 R  46 G  85    144    123.538      5.545		0.1948950799753515 | 0.0

 R  46 G  86    140    123.654      5.343		0.15688293790313312 | 0.046521106906097454

 R  46 G  87    144    123.808      5.622		0.1948950799753515 | 0.0

 R  46 G  88    142    123.822      5.405		0.18489507997535148 | 0.0

 R  46 G  89    142    123.844      5.429		0.14688293790313312 | 0.046521106906097454

 R  46 G  90    140    123.782      5.442		0.14688293790313312 | 0.046521106906097454

 R  46 G  91    138     123.53      5.494		0.18489507997535148 | 0.0

 R  46 G  92    142    124.048      5.622		0.18489507997535148 | 0.0

 R  46 G  93    140    123.922      5.593		0.15688293790313312 | 0.03652110690609745

 R  46 G  94    140    123.442      5.332		0.18489507997535148 | 0.0

 R  46 G  95    142      123.4      5.585		0.18489507997535148 | 0.0

 R  46 G  96    146    123.946      5.366		0.1948950799753515 | 0.0

 R  46 G  97    142     123.71        5.5		0.8334332489523187 | 0.028005994712080776

 R  46 G  98    142    123.818      5.303		0.15688293790313312 | 0.056521106906097456

 R  46 G  99    140    123.892      5.563		0.18489507997535148 | 0.0

 R  46 G 100    140    124.022      5.417		0.16489507997535147 | 0.0

 R  46 G 101    138    123.992      5.314		0.14688293790313312 | 0.046521106906097454

 R  46 G 102    142    124.004      5.453		0.14688293790313312 | 0.046521106906097454

 R  46 G 103    144    123.478      5.469		0.18489507997535148 | 0.0

 R  46 G 104    140    123.824      5.537		0.18489507997535148 | 0.01

 R  46 G 105    144    123.796      5.453		0.8234332489523187 | 0.04800599471208078

 R  46 G 106    142    123.988      5.663		0.18489507997535148 | 0.0

 R  46 G 107    144    123.706      5.486		0.18489507997535148 | 0.01

 R  46 G 108    140    123.692      5.276		0.8234332489523187 | 0.04800599471208078

 R  46 G 109    144    123.784       5.55		0.1948950799753515 | 0.0

 R  46 G 110    138    123.774      5.212		0.14688293790313312 | 0.03652110690609745

 R  46 G 111    142    123.948      5.451		0.8234332489523187 | 0.04800599471208078

 R  46 G 112    142    124.004      5.532		0.8234332489523187 | 0.04800599471208078

 R  46 G 113    140    123.744      5.392		0.18489507997535148 | 0.0

 R  46 G 114    144    123.716       5.53		0.17489507997535148 | 0.0

 R  46 G 115    142    123.902      5.687		0.15688293790313312 | 0.056521106906097456

 R  46 G 116    142    123.594      5.403		0.18489507997535148 | 0.0

 R  46 G 117    140    123.864      5.608		0.8234332489523187 | 0.04800599471208078

 R  46 G 118    144     123.69      5.614		0.8234332489523187 | 0.04800599471208078

 R  46 G 119    142    123.606      5.484		0.2048950799753515 | 0.0

 R  46 G 120    142    123.962      5.487		0.1948950799753515 | 0.0

 R  46 G 121    144    123.514      5.582		0.8234332489523187 | 0.04800599471208078

 R  46 G 122    142     123.53      5.503		0.18489507997535148 | 0.0

 R  46 G 123    140    123.924      5.625		0.2048950799753515 | 0.01

 R  46 G 124    142    123.894      5.558		0.15688293790313312 | 0.056521106906097456

 R  46 G 125    140     123.95      5.581		0.18489507997535148 | 0.0

 R  46 G 126    142    123.552       5.51		0.15688293790313312 | 0.056521106906097456

 R  46 G 127    142     123.63      5.726		0.8234332489523187 | 0.04800599471208078

 R  46 G 128    140    123.968      5.719		0.17489507997535148 | 0.0

 R  46 G 129    144    123.902      5.366		0.15688293790313312 | 0.056521106906097456

 R  46 G 130    144    123.532      5.605		0.15688293790313312 | 0.056521106906097456

 R  46 G 131    148    123.802      5.774		0.15688293790313312 | 0.056521106906097456

 R  46 G 132    138    123.802      5.329		0.15688293790313312 | 0.056521106906097456

 R  46 G 133    138    123.676      5.344		0.15688293790313312 | 0.056521106906097456

 R  46 G 134    144    123.698      5.756		0.18489507997535148 | 0.0

 R  46 G 135    146     124.01      5.669		0.15688293790313312 | 0.056521106906097456

 R  46 G 136    142    123.832      5.314		0.15688293790313312 | 0.056521106906097456

 R  46 G 137    142    123.974      5.393		0.18489507997535148 | 0.0

 R  46 G 138    142    123.672      5.408		0.15688293790313312 | 0.056521106906097456

 R  46 G 139    144    123.734       5.48		0.15688293790313312 | 0.046521106906097454

 R  46 G 140    140    123.966      5.522		0.15688293790313312 | 0.056521106906097456

 R  46 G 141    138    123.886      5.477		0.15688293790313312 | 0.056521106906097456

 R  46 G 142    144    123.726      5.537		0.15688293790313312 | 0.056521106906097456

 R  46 G 143    140    123.874      5.534		0.2048950799753515 | 0.01

 R  46 G 144    142    124.238      5.538		0.15688293790313312 | 0.056521106906097456

 R  46 G 145    142     123.94      5.301		0.17489507997535148 | 0.0

 R  46 G 146    146    123.932      5.565		0.15688293790313312 | 0.056521106906097456

 R  46 G 147    138    123.786      5.397		0.15688293790313312 | 0.056521106906097456

 R  46 G 148    146    123.946      5.463		0.17489507997535148 | 0.0

 R  46 G 149    140    123.788      5.452		0.1948950799753515 | 0.01

 R  46 G 150    140    123.794      5.367		0.1948950799753515 | 0.01

 R  46 G 151    142    123.576      5.244		0.15688293790313312 | 0.056521106906097456

 R  46 G 152    142    123.824      5.449		0.15688293790313312 | 0.056521106906097456

 R  46 G 153    140    124.096      5.667		0.15688293790313312 | 0.056521106906097456

 R  46 G 154    142    123.572      5.545		0.18489507997535148 | 0.0

 R  46 G 155    144    123.928      5.455		0.2048950799753515 | 0.0

 R  46 G 156    138     123.68      5.281		0.18489507997535148 | 0.0

 R  46 G 157    140    123.896       5.35		0.18489507997535148 | 0.0

 R  46 G 158    142    123.518      5.424		0.2048950799753515 | 0.02

 R  46 G 159    142    123.792      5.353		0.2048950799753515 | 0.0

 R  46 G 160    142    123.892      5.346		0.16688293790313313 | 0.056521106906097456

 R  46 G 161    142    123.852      5.304		0.18489507997535148 | 0.0

 R  46 G 162    144     123.88      5.369		0.1948950799753515 | 0.0

 R  46 G 163    144    124.054      5.442		0.18489507997535148 | 0.0

 R  46 G 164    142    124.148      5.272		0.2048950799753515 | 0.01

 R  46 G 165    140    123.906      5.211		0.18489507997535148 | 0.0

 R  46 G 166    142    123.714      5.485		0.1948950799753515 | 0.0

 R  46 G 167    146     123.81      5.429		0.18489507997535148 | 0.0

 R  46 G 168    148    123.992      5.312		0.18489507997535148 | 0.0

 R  46 G 169    140    123.918      5.396		0.2048950799753515 | 0.02

 R  46 G 170    142    123.806       5.34		0.2048950799753515 | 0.01

 R  46 G 171    140     123.69      5.447		0.18489507997535148 | 0.0

 R  46 G 172    144    124.126      5.427		0.18489507997535148 | 0.0

 R  46 G 173    140    123.948      5.235		0.18489507997535148 | 0.01

 R  46 G 174    140    123.804      5.427		0.18489507997535148 | 0.0

 R  46 G 175    142    123.864      5.513		0.1948950799753515 | 0.01

 R  46 G 176    142    123.812      5.272		0.18489507997535148 | 0.0

 R  46 G 177    140    123.802      5.257		0.17489507997535148 | 0.01

 R  46 G 178    144    123.886      5.386		0.18489507997535148 | 0.0

 R  46 G 179    142    124.052      5.232		0.18489507997535148 | 0.0

 R  46 G 180    140    123.822      5.199		0.18489507997535148 | 0.0

 R  46 G 181    140    124.186       5.19		0.18489507997535148 | 0.0

 R  46 G 182    142    123.954      5.355		0.2048950799753515 | 0.02

 R  46 G 183    142    123.524       5.37		0.18489507997535148 | 0.0

 R  46 G 184    142    123.698      5.315		0.1948950799753515 | 0.0

 R  46 G 185    138    123.938      5.155		0.1948950799753515 | 0.0

 R  46 G 186    138     123.65      5.314		0.18489507997535148 | 0.0

 R  46 G 187    142    123.902       5.41		0.18489507997535148 | 0.0

 R  46 G 188    144    123.904      5.429		0.18489507997535148 | 0.0

 R  46 G 189    142    123.796      5.286		0.18489507997535148 | 0.0

 R  46 G 190    140    123.874       5.26		0.1948950799753515 | 0.0

 R  46 G 191    142    123.792      5.468		0.18489507997535148 | 0.0

 R  46 G 192    140    123.656      5.465		0.1948950799753515 | 0.0

 R  46 G 193    142    123.656      5.355		0.18489507997535148 | 0.0

 R  46 G 194    140    123.966      5.446		0.18489507997535148 | 0.01

 R  46 G 195    146    124.186      5.614		0.18489507997535148 | 0.0

 R  46 G 196    138     124.01      5.223		0.1948950799753515 | 0.01

 R  46 G 197    140    123.874      5.528		0.18489507997535148 | 0.01

 R  46 G 198    144    123.876      5.454		0.18489507997535148 | 0.0

 R  46 G 199    140    123.672       5.62		0.18489507997535148 | 0.01

 R  46 G 200    142    123.534      5.218		0.1948950799753515 | 0.01

 R  46 G 201    140     123.82      5.615		0.18489507997535148 | 0.01

 R  46 G 202    142      123.8      5.381		0.18489507997535148 | 0.01

 R  46 G 203    140    123.954      5.333		0.17489507997535148 | 0.0

 R  46 G 204    144     123.98       5.58		0.1948950799753515 | 0.0

 R  46 G 205    142    123.986      5.464		0.18489507997535148 | 0.0

 R  46 G 206    140    123.766      5.462		0.18489507997535148 | 0.01

 R  46 G 207    142    123.794      5.578		0.18489507997535148 | 0.01

 R  46 G 208    142    123.656      5.199		0.18489507997535148 | 0.01

 R  46 G 209    142    123.706      5.545		0.18489507997535148 | 0.0

 R  46 G 210    140    123.458      5.418		0.1948950799753515 | 0.0

 R  46 G 211    140    124.194      5.532		0.2048950799753515 | 0.01

 R  46 G 212    144    123.918      5.356		0.2048950799753515 | 0.01

 R  46 G 213    142    123.876      5.495		0.1948950799753515 | 0.01

 R  46 G 214    142    123.934      5.516		0.1948950799753515 | 0.01

 R  46 G 215    140    124.106      5.591		0.18489507997535148 | 0.01

 R  46 G 216    142    123.562      5.658		0.18489507997535148 | 0.0

 R  46 G 217    146    124.026      5.535		0.2048950799753515 | 0.01

 R  46 G 218    140     123.98      5.278		0.2048950799753515 | 0.02

 R  46 G 219    142    123.938      5.185		0.1948950799753515 | 0.0

 R  46 G 220    142    123.768      5.498		0.17489507997535148 | 0.01

 R  46 G 221    140    124.152      5.508		0.2148950799753515 | 0.02

 R  46 G 222    140    123.526      5.449		0.1948950799753515 | 0.0

 R  46 G 223    142    123.758      5.228		0.18489507997535148 | 0.0

 R  46 G 224    144    123.896      5.463		0.2048950799753515 | 0.02

 R  46 G 225    144    123.828      5.365		0.1948950799753515 | 0.0

 R  46 G 226    142    123.822      5.412		0.17489507997535148 | 0.0

 R  46 G 227    140    123.858      5.487		0.16489507997535147 | 0.0

 R  46 G 228    142    123.914      5.405		0.18489507997535148 | 0.0

 R  46 G 229    142    124.022       5.29		0.2048950799753515 | 0.02

 R  46 G 230    140    124.144      5.501		0.18489507997535148 | 0.0

 R  46 G 231    142    123.994      5.544		0.18489507997535148 | 0.0

 R  46 G 232    144     123.96      5.548		0.18489507997535148 | 0.0

 R  46 G 233    144    123.792      5.109		0.18489507997535148 | 0.0

 R  46 G 234    142    123.794      5.514		0.18489507997535148 | 0.0

 R  46 G 235    142    123.986      5.493		0.2048950799753515 | 0.02

 R  46 G 236    140    124.036      5.434		0.18489507997535148 | 0.0

 R  46 G 237    140    123.944      5.479		0.17489507997535148 | 0.0

 R  46 G 238    140    123.848       5.38		0.18489507997535148 | 0.0

 R  46 G 239    140     123.79      5.565		0.2048950799753515 | 0.02

 R  46 G 240    140     124.31      5.453		0.18489507997535148 | 0.0

 R  46 G 241    142     123.85      5.573		0.18489507997535148 | 0.0

 R  46 G 242    142    123.698      5.408		0.1948950799753515 | 0.0

 R  46 G 243    144    123.978      5.279		0.1948950799753515 | 0.0

 R  46 G 244    142    123.926      5.313		0.18489507997535148 | 0.0

 R  46 G 245    142    123.742      5.474		0.1948950799753515 | 0.0

 R  46 G 246    144     123.99      5.447		0.1948950799753515 | 0.0

 R  46 G 247    138    123.826      5.463		0.1948950799753515 | 0.0

 R  46 G 248    138    123.804      5.336		0.2048950799753515 | 0.01

 R  46 G 249    142    124.044      5.422		0.17489507997535148 | 0.01

 R  46 G 250    140    124.024      5.246		0.18489507997535148 | 0.0

 R  46 G 251    142    123.768      5.325		0.1948950799753515 | 0.0

 R  46 G 252    140    123.682      5.269		0.18489507997535148 | 0.0

 R  46 G 253    142    123.894      5.314		0.18489507997535148 | 0.0

 R  46 G 254    138    123.842      5.294		0.18489507997535148 | 0.0

 R  46 G 255    144    123.852      5.399		0.18489507997535148 | 0.0

 R  46 G 256    144    124.176      5.243		0.18489507997535148 | 0.0

 R  46 G 257    138    124.012       5.34		0.1948950799753515 | 0.0

 R  46 G 258    142     123.82      5.361		0.1948950799753515 | 0.0

