Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923
 R   1 G 155    144    123.456      5.733		0.28394784444313337 | 0.029208819079435955

 R   1 G 156    142      123.7      5.667		0.2939478444431334 | 0.03920881907943596

 R   1 G 157    144    123.632      5.869		0.3039478444431334 | 0.029208819079435955

 R   1 G 158    142    123.342      5.727		0.2939478444431334 | 0.029208819079435955

 R   1 G 159    142    123.798      5.676		0.3039478444431334 | 0.029208819079435955

 R   1 G 160    140    123.628      5.747		0.2939478444431334 | 0.029208819079435955

 R   1 G 161    140    123.586      5.484		0.3039478444431334 | 0.029208819079435955

 R   1 G 162    142    123.564      5.678		0.28394784444313337 | 0.029208819079435955

 R   1 G 163    152    123.826      6.059		0.2939478444431334 | 0.029208819079435955

 R   1 G 164    140    123.478      5.575		0.3039478444431334 | 0.029208819079435955

 R   1 G 165    142     123.54      5.808		0.2939478444431334 | 0.029208819079435955

 R   1 G 166    142    123.568       5.74		0.2939478444431334 | 0.029208819079435955

 R   1 G 167    144    123.468      5.611		0.2939478444431334 | 0.03920881907943596

 R   1 G 168    142    123.628      5.666		0.2939478444431334 | 0.029208819079435955

 R   1 G 169    140    123.378       5.52		0.3039478444431334 | 0.029208819079435955

 R   1 G 170    146     123.68      6.111		0.2939478444431334 | 0.029208819079435955

 R   1 G 171    142     123.51      5.802		0.2939478444431334 | 0.029208819079435955

 R   1 G 172    140    123.368      5.573		0.28394784444313337 | 0.029208819079435955

 R   1 G 173    146     123.56      5.707		0.2939478444431334 | 0.03920881907943596

 R   1 G 174    144    123.664      5.812		0.2939478444431334 | 0.029208819079435955

 R   1 G 175    144    123.704      5.641		0.2939478444431334 | 0.029208819079435955

 R   1 G 176    140    123.382       5.56		0.02517965964503765 | 0.01360256997483811

 R   1 G 177    142    123.356      5.443		0.02517965964503765 | 0.02360256997483811

 R   1 G 178    142    123.318      5.764		0.3139478444431334 | 0.029208819079435955

 R   1 G 179    142     123.84      5.686		0.2939478444431334 | 0.04920881907943596

 R   1 G 180    144    123.614       5.51		0.2939478444431334 | 0.03920881907943596

 R   1 G 181    142    123.696       5.59		0.3139478444431334 | 0.029208819079435955

 R   1 G 182    140    123.606      5.579		0.3139478444431334 | 0.029208819079435955

 R   1 G 183    144    123.696      5.466		0.28394784444313337 | 0.03920881907943596

 R   1 G 184    140     123.88      5.374		0.2939478444431334 | 0.03920881907943596

 R   1 G 185    142    123.414      5.329		0.28394784444313337 | 0.03920881907943596

 R   1 G 186    146    123.734      5.414		0.3139478444431334 | 0.029208819079435955

 R   1 G 187    142    123.584      5.228		0.3139478444431334 | 0.029208819079435955

 R   1 G 188    142    123.374      5.312		0.2939478444431334 | 0.03920881907943596

 R   1 G 189    140    123.706      5.338		0.3339478444431334 | 0.04920881907943596

 R   1 G 190    144    123.898      5.281		0.3139478444431334 | 0.029208819079435955

 R   1 G 191    144    124.078      5.457		0.03517965964503765 | 0.02360256997483811

 R   1 G 192    144    123.634      5.507		0.2939478444431334 | 0.03920881907943596

 R   1 G 193    144    123.762      5.446		0.3039478444431334 | 0.019208819079435953

 R   1 G 194    142    123.962      5.483		0.2939478444431334 | 0.04920881907943596

 R   1 G 195    144    123.866      5.471		0.3139478444431334 | 0.029208819079435955

 R   1 G 196    144     123.52      5.447		0.2939478444431334 | 0.03920881907943596

 R   1 G 197    144    123.678      5.383		0.3139478444431334 | 0.029208819079435955

 R   1 G 198    140    123.398      5.335		0.2939478444431334 | 0.04920881907943596

 R   1 G 199    142    123.822      5.531		0.2939478444431334 | 0.03920881907943596

 R   1 G 200    142    123.576      5.468		0.3239478444431334 | 0.029208819079435955

 R   1 G 201    142    123.636      5.431		0.2939478444431334 | 0.03920881907943596

 R   1 G 202    140    124.014      5.325		0.3039478444431334 | 0.03920881907943596

 R   1 G 203    140    123.402      5.444		0.3239478444431334 | 0.029208819079435955

 R   1 G 204    144    123.566      5.429		0.3139478444431334 | 0.029208819079435955

 R   1 G 205    144    123.642      5.581		0.3239478444431334 | 0.029208819079435955

 R   1 G 206    140    123.684      5.331		0.2939478444431334 | 0.03920881907943596

 R   1 G 207    146    123.624      5.466		0.2939478444431334 | 0.03920881907943596

 R   1 G 208    142     123.68      5.506		0.2939478444431334 | 0.029208819079435955

 R   1 G 209    140     123.53      5.403		0.2939478444431334 | 0.03920881907943596

 R   1 G 210    146    123.632      5.311		0.3139478444431334 | 0.029208819079435955

 R   1 G 211    144    123.506      5.366		0.3139478444431334 | 0.029208819079435955

