Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009

 R  46 G 230    229    218.924       3.82		1.0 | 0.12239142147658655

 R  46 G 231    229     218.56      3.796		1.0 | 0.12239142147658656

 R  46 G 232    229    218.728      3.897		1.0 | 0.12239142147658655

 R  46 G 233    229    218.764      3.735		1.0 | 0.12239142147658655

 R  46 G 234    229    218.956      3.916		1.0 | 0.12239142147658655

 R  46 G 235    229    218.668      4.143		1.0 | 0.13239142147658656

 R  46 G 236    229    218.884      3.983		1.0 | 0.12239142147658656

 R  46 G 237    231    218.792      4.025		0.99 | 0.12239142147658655

 R  46 G 238    229    218.884      4.057		1.0 | 0.12239142147658656

 R  46 G 239    229    218.732      4.322		1.0 | 0.12239142147658655

 R  46 G 240    227    218.708      4.052		1.0 | 0.12239142147658656

 R  46 G 241    229    218.968      3.954		1.0 | 0.12239142147658656

 R  46 G 242    229    219.096      3.926		1.0 | 0.12239142147658656

 R  46 G 243    229    218.908      3.933		1.0 | 0.13239142147658656

 R  46 G 244    229    219.116      3.734		1.0 | 0.12239142147658656

 R  46 G 245    229     218.54       3.93		1.0 | 0.12239142147658656

 R  46 G 246    227    218.612      4.012		1.0 | 0.12239142147658656

 R  46 G 247    233    218.428      4.117		0.98 | 0.11239142147658657

 R  46 G 248    229    218.204      4.288		1.0 | 0.12239142147658656

 R  46 G 249    229    218.456      4.112		1.0 | 0.12239142147658655

 R  46 G 250    229    218.476      4.274		1.0 | 0.12239142147658656

 R  46 G 251    229    218.592      4.069		1.0 | 0.12239142147658655

 R  46 G 252    229    219.032      4.316		1.0 | 0.12239142147658656

 R  46 G 253    229    218.748      4.176		1.0 | 0.12239142147658656

 R  46 G 254    229     218.58      4.287		1.0 | 0.11239142147658657

 R  46 G 255    229    219.116      3.922		0.98 | 0.11239142147658657

 R  46 G 256    227    218.492      3.962		1.0 | 0.13239142147658656

 R  46 G 257    229    218.812       4.24		1.0 | 0.12239142147658656

 R  46 G 258    229     218.68      4.289		1.0 | 0.12239142147658656

 R  46 G 259    229    218.552      4.047		0.98 | 0.11239142147658657

 R  46 G 260    227    218.552       4.33		0.99 | 0.12239142147658656

 R  46 G 261    229    218.176      4.338		1.0 | 0.12239142147658656

 R  46 G 262    231    218.784      4.671		0.98 | 0.12239142147658656

 R  46 G 263    227     218.46      4.185		1.0 | 0.12239142147658655

 R  46 G 264    229    218.588      4.428		0.99 | 0.13239142147658656

 R  46 G 265    227      218.6      4.298		0.99 | 0.12239142147658656

 R  46 G 266    229      218.6      4.397		0.99 | 0.12239142147658656

 R  46 G 267    229     218.88      4.188		1.0 | 0.13239142147658656

 R  46 G 268    227    218.656      4.129		1.0 | 0.11239142147658657

 R  46 G 269    229    218.844      4.415		1.0 | 0.11239142147658657

 R  46 G 270    231    218.664      4.275		0.99 | 0.12239142147658656

 R  46 G 271    229    218.588        4.5		0.99 | 0.12239142147658656

 R  46 G 272    231    218.648      4.557		0.99 | 0.12239142147658656

 R  46 G 273    229    218.312      4.639		0.99 | 0.12239142147658656

 R  46 G 274    231    218.448      4.368		0.98 | 0.11239142147658657

 R  46 G 275    231    218.472      4.591		0.98 | 0.12239142147658656

 R  46 G 276    229    218.604      4.178		0.99 | 0.12239142147658656

 R  46 G 277    229    218.416      4.276		1.0 | 0.11239142147658657

 R  46 G 278    229    218.312      4.369		1.0 | 0.11239142147658657

 R  46 G 279    229    218.692      4.227		0.99 | 0.12239142147658656

 R  46 G 280    227    218.644      3.953		0.99 | 0.12239142147658656

 R  46 G 281    229    218.588      3.813		0.99 | 0.13239142147658656

 R  46 G 282    229    218.892      3.951		1.0 | 0.12239142147658656

 R  46 G 283    229    218.524      4.129		1.0 | 0.12239142147658656

 R  46 G 284    229    218.664      4.067		1.0 | 0.11239142147658657

 R  46 G 285    227    218.828      3.979		1.0 | 0.11239142147658657

 R  46 G 286    229    218.932      3.812		1.0 | 0.12239142147658656

 R  46 G 287    229    218.656      4.013		1.0 | 0.12239142147658656

 R  46 G 288    229     218.54      3.956		0.99 | 0.12239142147658656

 R  46 G 289    229    218.844      3.909		0.99 | 0.12239142147658656

 R  46 G 290    229    218.852      4.101		1.0 | 0.11239142147658657

 R  46 G 291    229     218.72      4.258		1.0 | 0.12239142147658656

 R  46 G 292    229    218.332       4.17		1.0 | 0.11239142147658657

 R  46 G 293    227    218.836      4.095		0.99 | 0.13239142147658656

 R  46 G 294    229    218.764      3.845		1.0 | 0.12239142147658656

 R  46 G 295    229    218.956      4.146		0.99 | 0.12239142147658656

 R  46 G 296    229    218.376      4.001		1.0 | 0.11239142147658657

 R  46 G 297    229    218.812      4.038		1.0 | 0.12239142147658656

 R  46 G 298    227     218.84      3.922		1.0 | 0.12239142147658656

 R  46 G 299    229    218.796      3.998		1.0 | 0.12239142147658656

 R  46 G 300    229     218.54      4.171		1.0 | 0.11239142147658657

 R  46 G 301    229    218.676      3.925		1.0 | 0.12239142147658656

 R  46 G 302    229    218.724      3.983		1.0 | 0.12239142147658656

 R  46 G 303    229    218.904      4.047		1.0 | 0.12239142147658656

 R  46 G 304    229     218.96      4.295		1.0 | 0.12239142147658656

 R  46 G 305    229    219.084      4.004		0.99 | 0.11239142147658657

 R  46 G 306    229    218.684      3.899		1.0 | 0.12239142147658656

 R  46 G 307    229    218.556      4.309		0.99 | 0.10239142147658657

 R  46 G 308    229    218.908       4.13		1.0 | 0.11239142147658657

 R  46 G 309    229    218.932      4.024		1.0 | 0.11239142147658657

 R  46 G 310    229    218.676      3.925		1.0 | 0.11239142147658657

 R  46 G 311    229    218.588      4.284		1.0 | 0.12239142147658656

 R  46 G 312    229    218.764      4.018		1.0 | 0.12239142147658656

 R  46 G 313    229    219.256      4.073		0.99 | 0.11239142147658657

 R  46 G 314    231    218.896      4.001		0.99 | 0.11239142147658657

 R  46 G 315    229    218.812      3.995		1.0 | 0.12239142147658656

 R  46 G 316    227    218.536      3.877		1.0 | 0.12239142147658656

 R  46 G 317    229    218.956      4.098		0.99 | 0.11239142147658657

 R  46 G 318    229    218.888      3.907		1.0 | 0.11239142147658657

 R  46 G 319    227    218.784      3.893		1.0 | 0.12239142147658656

 R  46 G 320    229    219.016      4.038		1.0 | 0.12239142147658656

 R  46 G 321    229    218.984      3.773		1.0 | 0.11239142147658657

 R  46 G 322    229    218.668      3.916		1.0 | 0.11239142147658657

 R  46 G 323    229    218.528      4.002		1.0 | 0.12239142147658656

 R  46 G 324    229    218.908      4.148		0.99 | 0.12239142147658656

 R  46 G 325    229     218.56      4.159		1.0 | 0.12239142147658656

 R  46 G 326    229    218.828      4.009		1.0 | 0.12239142147658656

 R  46 G 327    229    218.504      4.254		1.0 | 0.12239142147658656

 R  46 G 328    227    218.668      4.059		1.0 | 0.11239142147658657

 R  46 G 329    229     218.82      4.198		1.0 | 0.11239142147658657

 R  46 G 330    229    218.712       4.23		1.0 | 0.12239142147658656

 R  46 G 331    229    219.104      4.015		1.0 | 0.12239142147658656

 R  46 G 332    229    218.944      3.877		1.0 | 0.12239142147658656

 R  46 G 333    227    218.408      4.207		1.0 | 0.12239142147658656

 R  46 G 334    229     218.74      4.109		1.0 | 0.11239142147658657

 R  46 G 335    227    218.912      4.013		1.0 | 0.12239142147658656

 R  46 G 336    229    218.928      3.838		1.0 | 0.12239142147658656

 R  46 G 337    229    218.928      4.275		0.99 | 0.12239142147658656

 R  46 G 338    229    218.448      4.103		0.99 | 0.13239142147658656

 R  46 G 339    227    218.444      4.348		1.0 | 0.11239142147658657

 R  46 G 340    227    218.684      3.864		0.99 | 0.12239142147658656

 R  46 G 341    229    218.584      4.184		0.99 | 0.12239142147658656

 R  46 G 342    229    218.844      4.207		0.99 | 0.12239142147658656

 R  46 G 343    229    218.656       3.76		1.0 | 0.12239142147658656

 R  46 G 344    229    218.752      4.132		1.0 | 0.11239142147658657

 R  46 G 345    229     218.78      3.983		0.99 | 0.12239142147658656

 R  46 G 346    229    218.496      4.142		1.0 | 0.12239142147658656

 R  46 G 347    229    219.024      3.996		1.0 | 0.11239142147658657

 R  46 G 348    229      218.7      4.163		1.0 | 0.12239142147658656

 R  46 G 349    229    218.984      4.163		1.0 | 0.12239142147658656

 R  46 G 350    231     218.96      3.909		0.99 | 0.11239142147658657

 R  46 G 351    229    219.096       3.71		1.0 | 0.12239142147658656

 R  46 G 352    229    218.768      3.846		1.0 | 0.11239142147658657

 R  46 G 353    227    219.008       3.96		1.0 | 0.11239142147658657

 R  46 G 354    229      219.0      3.966		1.0 | 0.11239142147658657

 R  46 G 355    229    219.176       3.99		1.0 | 0.12239142147658656

 R  46 G 356    229    218.808      3.873		1.0 | 0.12239142147658656

 R  46 G 357    229    218.792      3.885		1.0 | 0.12239142147658656

 R  46 G 358    229    218.856      3.777		1.0 | 0.12239142147658656

 R  46 G 359    229    218.756      3.842		1.0 | 0.12239142147658656

 R  46 G 360    229    218.992      4.068		1.0 | 0.12239142147658656

 R  46 G 361    229    218.956      4.066		1.0 | 0.13239142147658656

 R  46 G 362    227    218.804      4.142		1.0 | 0.12239142147658656

 R  46 G 363    229    218.596      3.866		1.0 | 0.12239142147658656

 R  46 G 364    229    218.788       3.85		1.0 | 0.12239142147658656

 R  46 G 365    229    219.044      3.868		1.0 | 0.12239142147658656

 R  46 G 366    229    219.156      4.016		1.0 | 0.12239142147658656

 R  46 G 367    227    218.868      3.768		1.0 | 0.12239142147658656

 R  46 G 368    227    218.972      3.841		1.0 | 0.12239142147658656

 R  46 G 369    229    218.744      3.896		1.0 | 0.11239142147658657

 R  46 G 370    229    218.924      4.093		1.0 | 0.11239142147658657

 R  46 G 371    227     218.88      3.888		1.0 | 0.11239142147658657

 R  46 G 372    229    218.676      3.988		1.0 | 0.12239142147658656

 R  46 G 373    227    218.764      3.921		1.0 | 0.12239142147658656

 R  46 G 374    229     218.82      4.047		1.0 | 0.11239142147658657

 R  46 G 375    229    218.608      4.129		1.0 | 0.11239142147658657

 R  46 G 376    229    218.792      4.102		0.99 | 0.11239142147658657

 R  46 G 377    229      218.4      4.183		1.0 | 0.12239142147658656

 R  46 G 378    229    219.076      3.884		1.0 | 0.11239142147658657

 R  46 G 379    229    218.976      3.882		1.0 | 0.12239142147658656

 R  46 G 380    229    219.024      4.122		1.0 | 0.12239142147658656

 R  46 G 381    229    218.712      4.055		1.0 | 0.12239142147658656

 R  46 G 382    231    218.976      4.144		0.99 | 0.11239142147658657

 R  46 G 383    229     218.86      4.011		1.0 | 0.12239142147658656

 R  46 G 384    231    218.572      4.303		0.99 | 0.11239142147658657

 R  46 G 385    231    218.408      4.453		0.99 | 0.11239142147658657

 R  46 G 386    229    218.928       4.18		1.0 | 0.12239142147658656

 R  46 G 387    229    218.336      4.311		1.0 | 0.12239142147658656

 R  46 G 388    229    219.132      3.997		0.99 | 0.11239142147658657

 R  46 G 389    229    218.652      4.151		0.99 | 0.12239142147658656

 R  46 G 390    229    218.752       4.29		1.0 | 0.11239142147658657

 R  46 G 391    227    218.564      3.804		1.0 | 0.12239142147658656

 R  46 G 392    229     218.44      4.317		1.0 | 0.12239142147658656

 R  46 G 393    231    218.964      4.381		0.99 | 0.11239142147658657

 R  46 G 394    231    218.708      4.161		0.99 | 0.12239142147658656

 R  46 G 395    229    218.864      4.237		1.0 | 0.12239142147658656

 R  46 G 396    229    218.636      4.105		0.98 | 0.12239142147658656

 R  46 G 397    229    218.944      3.923		1.0 | 0.11239142147658657

 R  46 G 398    229     218.74      4.042		1.0 | 0.11239142147658657

 R  46 G 399    229    218.648       4.03		1.0 | 0.13239142147658656

 R  46 G 400    229    218.652      4.085		1.0 | 0.11239142147658657

 R  46 G 401    229    219.104      3.881		1.0 | 0.12239142147658656

 R  46 G 402    229    218.936      3.999		1.0 | 0.11239142147658657

 R  46 G 403    229    218.924       4.07		1.0 | 0.11239142147658657

 R  46 G 404    229    218.892      3.957		1.0 | 0.11239142147658657

 R  46 G 405    227    219.156      3.824		1.0 | 0.10239142147658657

 R  46 G 406    227    218.716      3.829		1.0 | 0.11239142147658657

 R  46 G 407    229     218.78      3.949		1.0 | 0.11239142147658657

 R  46 G 408    231    218.884      3.842		0.99 | 0.10239142147658657

 R  46 G 409    229    218.992      4.136		1.0 | 0.12239142147658656

 R  46 G 410    229      219.0       4.03		1.0 | 0.11239142147658657

 R  46 G 411    229    218.976      3.884		1.0 | 0.10239142147658657

 R  46 G 412    229    219.028      4.025		1.0 | 0.14239142147658657

 R  46 G 413    227    218.868      3.692		1.0 | 0.14239142147658657

 R  46 G 414    229     218.84      3.942		1.0 | 0.11239142147658657

 R  46 G 415    229    219.076      3.923		1.0 | 0.11239142147658657

 R  46 G 416    229     219.24      3.736		1.0 | 0.11239142147658657

 R  46 G 417    229     219.08      3.833		1.0 | 0.12239142147658656

 R  46 G 418    229    219.096       3.81		1.0 | 0.11239142147658657

 R  46 G 419    227    218.832      3.856		1.0 | 0.11239142147658657

 R  46 G 420    227    219.152      3.961		1.0 | 0.11239142147658657

 R  46 G 421    227    218.804      3.948		1.0 | 0.11239142147658657

 R  46 G 422    229    218.968        4.0		1.0 | 0.11239142147658657

 R  46 G 423    229    218.824      3.948		1.0 | 0.11239142147658657

 R  46 G 424    229    219.072      3.973		1.0 | 0.11239142147658657

 R  46 G 425    229    218.688      3.935		1.0 | 0.11239142147658657

 R  46 G 426    229    219.236      3.681		1.0 | 0.11239142147658657

 R  46 G 427    229    218.992       4.03		0.99 | 0.11239142147658657

 R  46 G 428    229      218.8      3.989		1.0 | 0.11239142147658657

 R  46 G 429    229    218.832      4.034		1.0 | 0.11239142147658657

 R  46 G 430    227     219.06       3.98		1.0 | 0.11239142147658657

 R  46 G 431    227     218.86      3.778		1.0 | 0.11239142147658657

 R  46 G 432    229    218.772      3.864		1.0 | 0.12239142147658656

 R  46 G 433    229    218.784       3.89		1.0 | 0.11239142147658657

 R  46 G 434    229    218.452      3.981		1.0 | 0.12239142147658656

 R  46 G 435    229    218.824      3.775		1.0 | 0.11239142147658657

 R  46 G 436    227    218.772      3.968		1.0 | 0.11239142147658657

 R  46 G 437    227     218.74       4.05		1.0 | 0.11239142147658657

 R  46 G 438    227    219.116      3.929		1.0 | 0.11239142147658657

 R  46 G 439    227    218.668      3.695		1.0 | 0.11239142147658657

 R  46 G 440    229     218.92       3.84		1.0 | 0.10239142147658657

 R  46 G 441    229    219.004      4.011		1.0 | 0.11239142147658657

 R  46 G 442    227    219.048      3.728		1.0 | 0.11239142147658657

 R  46 G 443    229    219.208      3.831		1.0 | 0.11239142147658657

 R  46 G 444    229    218.804      3.884		1.0 | 0.11239142147658657

 R  46 G 445    229    218.884      3.953		0.99 | 0.11239142147658657

 R  46 G 446    229    219.316       3.88		1.0 | 0.11239142147658657

 R  46 G 447    229    219.036      3.899		1.0 | 0.11239142147658657

 R  46 G 448    229    218.896      4.078		1.0 | 0.12239142147658656

 R  46 G 449    229    218.764      4.032		1.0 | 0.11239142147658657

 R  46 G 450    229    219.196      3.851		1.0 | 0.11239142147658657

 R  46 G 451    229     219.02      3.835		1.0 | 0.11239142147658657

 R  46 G 452    229    218.888       3.96		0.99 | 0.11239142147658657

 R  46 G 453    231    218.976      4.128		0.99 | 0.11239142147658657

 R  46 G 454    229    218.508      4.058		1.0 | 0.11239142147658657

 R  46 G 455    229    218.476      4.048		1.0 | 0.11239142147658657

 R  46 G 456    229    219.028      4.125		1.0 | 0.12239142147658656

 R  46 G 457    227    218.852      4.232		1.0 | 0.12239142147658656

 R  46 G 458    231    218.928      3.929		0.99 | 0.11239142147658657

 R  46 G 459    229    218.896      4.169		1.0 | 0.11239142147658657

 R  46 G 460    229    218.624      4.078		1.0 | 0.10239142147658657

 R  46 G 461    229     219.06      4.034		0.99 | 0.12239142147658656

 R  46 G 462    229    218.676      4.209		1.0 | 0.11239142147658657

 R  46 G 463    229     218.86      4.005		1.0 | 0.12239142147658656

 R  46 G 464    229    219.124      4.227		0.99 | 0.12239142147658656

 R  46 G 465    229      219.0      3.853		0.99 | 0.11239142147658657

 R  46 G 466    231    218.816      4.163		0.98 | 0.11239142147658657

 R  46 G 467    229     218.32      4.113		0.99 | 0.11239142147658657

 R  46 G 468    229     218.88      3.984		1.0 | 0.11239142147658657

 R  46 G 469    229    219.068      4.074		1.0 | 0.12239142147658656

 R  46 G 470    229    218.816      4.038		1.0 | 0.11239142147658657

 R  46 G 471    229    218.968      4.203		1.0 | 0.11239142147658657

 R  46 G 472    229    218.992      4.245		1.0 | 0.10239142147658657

 R  46 G 473    229    219.196      3.801		1.0 | 0.10239142147658657

 R  46 G 474    229    219.044      3.897		1.0 | 0.11239142147658657

 R  46 G 475    229    219.064      3.933		1.0 | 0.11239142147658657

 R  46 G 476    229      219.4      3.986		1.0 | 0.11239142147658657

 R  46 G 477    229    218.964      4.033		1.0 | 0.10239142147658657

 R  46 G 478    229    219.096      4.123		1.0 | 0.10239142147658657

 R  46 G 479    229    218.948      3.912		1.0 | 0.11239142147658657

 R  46 G 480    229    218.976      4.157		1.0 | 0.11239142147658657

 R  46 G 481    229    219.136      4.087		1.0 | 0.10239142147658657

 R  46 G 482    229     218.86      4.146		1.0 | 0.11239142147658657

 R  46 G 483    229    218.736      4.248		1.0 | 0.10239142147658657

 R  46 G 484    229    218.928      4.035		0.99 | 0.11239142147658657

 R  46 G 485    229    218.664      4.103		1.0 | 0.10239142147658657

 R  46 G 486    229    218.884      4.141		1.0 | 0.10239142147658657

 R  46 G 487    229      218.8      4.164		1.0 | 0.11239142147658657

 R  46 G 488    229    218.684      3.952		0.99 | 0.11239142147658657

 R  46 G 489    229    218.756      4.182		0.99 | 0.11239142147658657

 R  46 G 490    229      218.5      4.462		1.0 | 0.10239142147658657

 R  46 G 491    229     218.68      4.077		1.0 | 0.11239142147658657

 R  46 G 492    231     219.12      3.925		0.99 | 0.10239142147658657

 R  46 G 493    229    218.696      3.988		1.0 | 0.11239142147658657

 R  46 G 494    229     219.04      4.281		1.0 | 0.11239142147658657

 R  46 G 495    229    219.024       4.04		1.0 | 0.11239142147658657

 R  46 G 496    231    218.828      4.288		0.99 | 0.10239142147658657

 R  46 G 497    229      218.8      4.231		1.0 | 0.11239142147658657

 R  46 G 498    231    218.712      4.485		0.98 | 0.09239142147658658

 R  46 G 499    229    218.868      4.599		0.99 | 0.10239142147658657

46     2        1.0########### RawFitness
           0          0          243

 R  47 G   0    237    202.876     12.108		0.024163976889439498 | 0.44321428230428694

 R  47 G   1    231    202.928     11.823		0.04100055651933199 | 0.4368368050310568

 R  47 G   2    233    205.788     11.827		0.5857242938917508 | 0.5223261511757642

 R  47 G   3    233    207.812     11.428		0.8460197018091706 | 0.07628055061030026

 R  47 G   4    231     208.28      11.33		0.9677527069288346 | 0.008033019098464322

 R  47 G   5    235    210.828     10.646		0.9677527069288346 | 0.008033019098464322

 R  47 G   6    235    213.332      9.421		0.790372596054032 | 0.025985647693372527

 R  47 G   7    233    216.292      7.922		0.9732307682781627 | 0.10319765635069322

 R  47 G   8    243    216.396      7.883		0.790372596054032 | 0.015985647693372525

 R  47 G   9    231    217.932      6.284		0.9732307682781627 | 0.10319765635069322

 R  47 G  10    233    218.208      6.298		0.9677527069288346 | 0.008033019098464322

 R  47 G  11    231    218.788      5.909		0.9632307682781627 | 0.10319765635069322

 R  47 G  12    233     218.74      6.571		0.9732307682781627 | 0.10319765635069322

 R  47 G  13    233    219.504      5.396		0.9920597203205834 | 0.002316412526721545

 R  47 G  14    231    219.776      4.926		0.9920597203205834 | 0.002316412526721545

 R  47 G  15    231    219.792      4.788		0.9611366825923581 | 0.00989893779073081

 R  47 G  16    233    220.408      4.682		0.9611366825923581 | 0.00989893779073081

 R  47 G  17    233    219.972      4.541		0.9611366825923581 | 0.00989893779073081

 R  47 G  18    233    219.736      4.618		0.9611366825923581 | 0.00989893779073081

 R  47 G  19    231    220.236      4.441		0.9611366825923581 | 0.00989893779073081

 R  47 G  20    231    219.984       4.62		0.9820597203205834 | 0.002316412526721545

 R  47 G  21    229    220.148      4.635		0.9920597203205834 | 0.002316412526721545

 R  47 G  22    231    220.384      4.389		0.9920597203205834 | 0.012316412526721545

 R  47 G  23    231    220.388      4.425		0.9920597203205834 | 0.002316412526721545

 R  47 G  24    233    219.956      4.625		0.9677527069288346 | 0.018033019098464324

 R  47 G  25    231    219.904      4.863		0.9677527069288346 | 0.018033019098464324

 R  47 G  26    229    220.256      4.343		0.9720597203205834 | 0.002316412526721545

 R  47 G  27    233    220.224      4.608		0.9677527069288346 | 0.018033019098464324

 R  47 G  28    229    220.332       4.16		0.9920597203205834 | 0.002316412526721545

 R  47 G  29    231    220.288      4.234		0.9677527069288346 | 0.018033019098464324

 R  47 G  30    229    220.052      4.293		0.9920597203205834 | 0.002316412526721545

 R  47 G  31    229    220.492      4.287		0.9920597203205834 | 0.0

 R  47 G  32    231     220.28      4.287		0.9677527069288346 | 0.018033019098464324

 R  47 G  33    229    220.212      4.246		0.9920597203205834 | 0.002316412526721545

 R  47 G  34    229    220.052      4.096		0.9920597203205834 | 0.0

 R  47 G  35    231    220.072      4.211		0.9920597203205834 | 0.002316412526721545

 R  47 G  36    229    220.444      4.377		0.9920597203205834 | 0.0

 R  47 G  37    229     220.32       4.13		0.9920597203205834 | 0.002316412526721545

 R  47 G  38    231     220.76      4.013		0.9920597203205834 | 0.002316412526721545

 R  47 G  39    229    220.444      3.984		0.9920597203205834 | 0.002316412526721545

 R  47 G  40    229    220.328       4.56		0.9920597203205834 | 0.012316412526721545

 R  47 G  41    231    220.104      4.057		0.9920597203205834 | 0.0

 R  47 G  42    229    220.232      4.268		0.9920597203205834 | 0.002316412526721545

 R  47 G  43    229    220.256        4.1		1.0 | 0.0

 R  47 G  44    231    220.524      4.041		0.9920597203205834 | 0.002316412526721545

 R  47 G  45    229    220.568      3.831		0.9920597203205834 | 0.002316412526721545

 R  47 G  46    229    220.232       3.86		0.9920597203205834 | 0.002316412526721545

 R  47 G  47    231    220.636      4.165		0.9920597203205834 | 0.002316412526721545

 R  47 G  48    231     220.48      4.091		0.9920597203205834 | 0.012316412526721545

 R  47 G  49    233    220.436      4.172		0.9920597203205834 | 0.0

 R  47 G  50    229    220.316      4.099		0.9820597203205834 | 0.0

 R  47 G  51    231    220.464       4.22		0.9920597203205834 | 0.002316412526721545

 R  47 G  52    231    220.472       4.33		0.9920597203205834 | 0.002316412526721545

 R  47 G  53    231    220.444       4.02		0.9920597203205834 | 0.0

 R  47 G  54    231    220.612      3.888		0.9920597203205834 | 0.002316412526721545

 R  47 G  55    231    220.308      4.289		0.9720597203205834 | 0.002316412526721545

 R  47 G  56    231    220.692      4.141		0.9920597203205834 | 0.002316412526721545

 R  47 G  57    231    220.116      4.284		0.9920597203205834 | 0.002316412526721545

 R  47 G  58    229    220.464      3.927		0.9920597203205834 | 0.0

 R  47 G  59    229     220.36      4.227		0.9920597203205834 | 0.0

 R  47 G  60    231    220.136      4.072		0.9920597203205834 | 0.002316412526721545

 R  47 G  61    229    220.308       4.24		0.9920597203205834 | 0.002316412526721545

 R  47 G  62    229    220.256      4.035		0.9920597203205834 | 0.002316412526721545

 R  47 G  63    233    220.324      4.062		0.9920597203205834 | 0.002316412526721545

 R  47 G  64    229    220.084      3.974		0.9920597203205834 | 0.002316412526721545

 R  47 G  65    233      220.7      4.046		0.9820597203205834 | 0.002316412526721545

 R  47 G  66    229      220.6      3.857		0.9920597203205834 | 0.002316412526721545

 R  47 G  67    231    220.472      3.889		0.9920597203205834 | 0.002316412526721545

 R  47 G  68    231      220.2      4.281		0.9920597203205834 | 0.0

 R  47 G  69    229    220.032      4.422		0.9920597203205834 | 0.01

 R  47 G  70    231    220.412      4.232		0.9920597203205834 | 0.01

 R  47 G  71    229    220.388      4.121		0.9920597203205834 | 0.002316412526721545

 R  47 G  72    231      220.2      4.124		0.9820597203205834 | 0.0

 R  47 G  73    231    220.316      4.225		0.9920597203205834 | 0.01

 R  47 G  74    231    220.636      4.146		0.9820597203205834 | 0.002316412526721545

 R  47 G  75    231    220.328      3.886		0.9820597203205834 | 0.002316412526721545

 R  47 G  76    229    220.412      4.245		0.9920597203205834 | 0.0

 R  47 G  77    229    220.328       3.99		0.9820597203205834 | 0.0

 R  47 G  78    231    220.748      4.118		0.9920597203205834 | 0.0

 R  47 G  79    231    220.376      4.027		0.9920597203205834 | 0.002316412526721545

 R  47 G  80    229    220.604      4.216		0.9920597203205834 | 0.002316412526721545

 R  47 G  81    231    220.604      3.713		0.9820597203205834 | 0.002316412526721545

 R  47 G  82    231    220.252      3.738		0.9920597203205834 | 0.002316412526721545

 R  47 G  83    229    220.408      3.907		0.9920597203205834 | 0.002316412526721545

 R  47 G  84    231    220.436      3.768		0.9920597203205834 | 0.002316412526721545

 R  47 G  85    229    220.684      3.709		1.0 | 0.0

 R  47 G  86    231    220.724      3.979		0.9920597203205834 | 0.01

 R  47 G  87    229    220.628      3.998		0.99 | 0.0

 R  47 G  88    229    220.636      3.926		0.9920597203205834 | 0.0

 R  47 G  89    229    220.824      3.743		1.0 | 0.0

 R  47 G  90    229      220.4      3.835		0.9920597203205834 | 0.0

 R  47 G  91    231    220.384      3.833		0.9920597203205834 | 0.0

 R  47 G  92    231    220.568      4.064		0.9920597203205834 | 0.0

 R  47 G  93    229    220.656      3.796		1.0 | 0.0

 R  47 G  94    229     220.82      3.614		1.0 | 0.0

 R  47 G  95    229    220.676      3.541		0.9920597203205834 | 0.0

 R  47 G  96    231    220.896      3.443		0.9820597203205834 | 0.0

 R  47 G  97    231    220.696      3.748		0.9920597203205834 | 0.002316412526721545

 R  47 G  98    231    220.952      3.619		0.9920597203205834 | 0.0

 R  47 G  99    229    220.196      4.128		0.9820597203205834 | 0.0

 R  47 G 100    233    220.616      3.766		0.9920597203205834 | 0.0

 R  47 G 101    229    220.652      3.872		0.99 | 0.002316412526721545

 R  47 G 102    229    220.092      3.982		0.9920597203205834 | 0.0

 R  47 G 103    231    220.512      3.882		0.9920597203205834 | 0.0

 R  47 G 104    231    220.704      3.902		0.9920597203205834 | 0.0

 R  47 G 105    231     220.54      3.761		0.9820597203205834 | 0.0

 R  47 G 106    231    220.588      3.882		0.99 | 0.0

 R  47 G 107    231    220.236      4.281		0.9820597203205834 | 0.0

 R  47 G 108    231    220.848      3.695		0.9820597203205834 | 0.0

 R  47 G 109    231    220.372      3.762		0.9820597203205834 | 0.0

 R  47 G 110    229    220.696      3.681		1.0 | 0.0

 R  47 G 111    231    220.592      3.503		0.9920597203205834 | 0.0

 R  47 G 112    231    220.704      3.688		0.9820597203205834 | 0.0

