Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009
 R   1 G 213    229    220.448       3.63		0.997901979620712 | 0.025625362030093815

 R   1 G 214    229     220.24      3.661		0.997901979620712 | 0.025625362030093815

 R   1 G 215    229    220.496      3.532		1.0 | 0.015625362030093813

 R   1 G 216    229    220.588      3.439		1.0 | 0.015625362030093813

 R   1 G 217    229    220.308      3.594		0.997901979620712 | 0.005625362030093813

 R   1 G 218    229    220.268      3.572		0.997901979620712 | 0.005625362030093813

 R   1 G 219    229     220.56      3.228		0.997901979620712 | 0.005625362030093813

 R   1 G 220    229     220.58       3.58		0.987901979620712 | 0.025625362030093815

 R   1 G 221    231     220.16      3.693		0.997901979620712 | 0.025625362030093815

 R   1 G 222    229    220.516       3.47		0.997901979620712 | 0.005625362030093813

 R   1 G 223    231    220.128       3.62		0.997901979620712 | 0.005625362030093813

 R   1 G 224    229    220.136      3.761		0.997901979620712 | 0.025625362030093815

 R   1 G 225    229    220.292       3.67		0.997901979620712 | 0.025625362030093815

 R   1 G 226    229    220.072       3.65		0.997901979620712 | 0.025625362030093815

 R   1 G 227    229    220.604      3.549		0.997901979620712 | 0.025625362030093815

 R   1 G 228    229    220.596      3.557		0.997901979620712 | 0.03562536203009382

 R   1 G 229    229    220.348      3.931		0.997901979620712 | 0.005625362030093813

 R   1 G 230    229     220.68       3.51		0.997901979620712 | 0.025625362030093815

 R   1 G 231    229    220.332      3.474		0.997901979620712 | 0.025625362030093815

 R   1 G 232    229    220.284      3.553		0.997901979620712 | 0.005625362030093813

 R   1 G 233    229     220.18      3.521		0.997901979620712 | 0.025625362030093815

 R   1 G 234    229    220.684      3.468		1.0 | 0.015625362030093813

 R   1 G 235    229    220.728      3.478		0.997901979620712 | 0.005625362030093813

 R   1 G 236    229    220.524       3.75		0.997901979620712 | 0.005625362030093813

 R   1 G 237    229     220.62      3.346		0.997901979620712 | 0.025625362030093815

 R   1 G 238    231    220.848      3.576		0.997901979620712 | 0.005625362030093813

 R   1 G 239    229    220.488      3.413		0.997901979620712 | 0.025625362030093815

 R   1 G 240    229    220.288      3.659		0.997901979620712 | 0.005625362030093813

 R   1 G 241    229    220.924      3.421		0.997901979620712 | 0.005625362030093813

 R   1 G 242    229      220.6      3.648		0.997901979620712 | 0.005625362030093813

 R   1 G 243    229     220.74       3.53		0.987901979620712 | 0.005625362030093813

 R   1 G 244    229    220.644      3.605		0.997901979620712 | 0.005625362030093813

 R   1 G 245    231     220.84      3.478		0.997901979620712 | 0.025625362030093815

 R   1 G 246    231     220.72      3.577		0.997901979620712 | 0.025625362030093815

 R   1 G 247    229    220.616      3.357		0.997901979620712 | 0.005625362030093813

 R   1 G 248    229    220.724      3.316		0.997901979620712 | 0.005625362030093813

 R   1 G 249    229    220.584      3.454		0.997901979620712 | 0.005625362030093813

 R   1 G 250    229    220.872      3.426		0.997901979620712 | 0.005625362030093813

 R   1 G 251    229      220.6        3.4		0.997901979620712 | 0.005625362030093813

 R   1 G 252    229    220.652      3.538		0.997901979620712 | 0.025625362030093815

 R   1 G 253    229    220.392      3.432		0.997901979620712 | 0.005625362030093813

 R   1 G 254    229    220.472      3.614		0.997901979620712 | 0.03562536203009382

 R   1 G 255    229    220.312      3.413		0.997901979620712 | 0.005625362030093813

 R   1 G 256    229    220.656      3.732		0.997901979620712 | 0.03562536203009382

 R   1 G 257    231    220.836      3.706		0.997901979620712 | 0.005625362030093813

 R   1 G 258    229    220.944      3.481		0.987901979620712 | 0.005625362030093813

 R   1 G 259    229    220.812       3.69		0.997901979620712 | 0.005625362030093813

 R   1 G 260    229     220.72      3.516		0.987901979620712 | 0.005625362030093813

 R   1 G 261    229     220.56      3.676		0.997901979620712 | 0.005625362030093813

 R   1 G 262    229    220.396      3.693		0.997901979620712 | 0.005625362030093813

 R   1 G 263    229      220.6        3.4		0.997901979620712 | 0.005625362030093813

 R   1 G 264    229    220.728      3.461		0.997901979620712 | 0.005625362030093813

 R   1 G 265    229     220.64      3.449		1.0 | 0.005625362030093813

 R   1 G 266    227    220.704      3.434		1.0 | 0.005625362030093813

 R   1 G 267    229     221.02      3.562		0.997901979620712 | 0.025625362030093815

 R   1 G 268    229    220.784      3.468		1.0 | 0.005625362030093813

 R   1 G 269    229    220.652      3.477		0.997901979620712 | 0.005625362030093813

 R   1 G 270    229    220.768      3.506		0.997901979620712 | 0.005625362030093813

 R   1 G 271    229      220.7      3.588		0.997901979620712 | 0.015625362030093813

 R   1 G 272    231    220.656      3.254		0.997901979620712 | 0.005625362030093813

 R   1 G 273    229    220.672      3.557		1.0 | 0.005625362030093813

 R   1 G 274    229    220.648      3.525		0.987901979620712 | 0.005625362030093813

 R   1 G 275    229    220.548      3.531		0.997901979620712 | 0.005625362030093813

 R   1 G 276    229    220.636      3.597		0.997901979620712 | 0.005625362030093813

 R   1 G 277    229    220.736      3.277		0.997901979620712 | 0.005625362030093813

 R   1 G 278    229    220.964      3.501		1.0 | 0.005625362030093813

 R   1 G 279    229    220.888        3.5		0.997901979620712 | 0.005625362030093813

 R   1 G 280    229    220.776      3.404		0.997901979620712 | 0.005625362030093813

 R   1 G 281    229    220.788      3.404		0.997901979620712 | 0.005625362030093813

 R   1 G 282    229    220.724      3.215		0.997901979620712 | 0.005625362030093813

 R   1 G 283    229     220.76      3.464		0.997901979620712 | 0.005625362030093813

 R   1 G 284    229    220.924      3.442		1.0 | 0.015625362030093813

 R   1 G 285    229    220.768      3.177		1.0 | 0.025625362030093815

 R   1 G 286    231    220.876      3.448		0.997901979620712 | 0.005625362030093813

 R   1 G 287    229    220.476      3.415		1.0 | 0.015625362030093813

 R   1 G 288    229    220.736      3.222		0.997901979620712 | 0.005625362030093813

 R   1 G 289    229    220.536      3.562		0.997901979620712 | 0.005625362030093813

 R   1 G 290    229     220.68      3.356		0.997901979620712 | 0.005625362030093813

 R   1 G 291    229     220.98       3.38		1.0 | 0.005625362030093813

 R   1 G 292    229    220.756      3.446		0.997901979620712 | 0.005625362030093813

 R   1 G 293    229    220.712      3.437		1.0 | 0.025625362030093815

 R   1 G 294    229      220.7       3.33		1.0 | 0.005625362030093813

 R   1 G 295    229     221.04      3.101		1.0 | 0.005625362030093813

 R   1 G 296    229    220.504      3.344		1.0 | 0.005625362030093813

 R   1 G 297    229    220.472      3.603		1.0 | 0.005625362030093813

 R   1 G 298    229    220.632      3.415		0.997901979620712 | 0.005625362030093813

 R   1 G 299    229    220.488       3.51		1.0 | 0.005625362030093813

 R   1 G 300    229    220.444      3.393		1.0 | 0.005625362030093813

 R   1 G 301    231    220.688      3.267		0.997901979620712 | 0.015625362030093813

 R   1 G 302    229    220.488      3.464		0.997901979620712 | 0.005625362030093813

 R   1 G 303    229     220.78      3.363		0.997901979620712 | 0.005625362030093813

 R   1 G 304    229    220.748      3.535		1.0 | 0.005625362030093813

 R   1 G 305    229    220.636      3.724		0.997901979620712 | 0.005625362030093813

 R   1 G 306    229    220.716      3.417		0.997901979620712 | 0.005625362030093813

 R   1 G 307    231    220.764      3.498		0.99 | 0.005625362030093813

 R   1 G 308    229    220.812      3.422		0.997901979620712 | 0.005625362030093813

 R   1 G 309    229      220.4      3.487		0.997901979620712 | 0.005625362030093813

