Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348     205.64     73.431		0.10070556186895041 | 0.06107305562731147

 R  83 G  91    278      207.2     65.961		0.8254153990163935 | 0.8886422873717797

 R  83 G  92    280     194.42     78.999		0.8254153990163935 | 0.8986422873717798

 R  83 G  93    274     200.58     75.541		0.8254153990163935 | 0.8986422873717798

 R  83 G  94    274     183.72     83.387		0.8454153990163935 | 0.8986422873717798

 R  83 G  95    278     189.58     82.097		0.8254153990163935 | 0.8886422873717797

 R  83 G  96    280      196.9     83.457		0.8354153990163935 | 0.9086422873717798

 R  83 G  97    282      202.3     82.196		0.8154153990163935 | 0.9086422873717798

 R  83 G  98    280     179.28     82.733		0.8154153990163935 | 0.8886422873717797

 R  83 G  99    282     191.46     80.829		0.8254153990163935 | 0.8986422873717798

83     1###################### RawFitness
           0          0          350

 R  84 G   0    348     205.12     80.691		0.0493024367458208 | 0.9415851740955217

 R  84 G   1    350     221.38     67.493		0.038269301945180856 | 0.7062429331844228

 R  84 G   2    350     206.04     79.019		0.038269301945180856 | 0.7062429331844228

 R  84 G   3    328     210.48     69.614		0.24382131050963318 | 0.26469730873350217

 R  84 G   4    348     211.14     77.796		0.038269301945180856 | 0.7062429331844228

 R  84 G   5    344     204.46     81.578		0.038269301945180856 | 0.7062429331844228

 R  84 G   6    344     217.28     65.104		0.038269301945180856 | 0.7062429331844228

 R  84 G   7    350     201.58     75.061		0.038269301945180856 | 0.6962429331844228

 R  84 G   8    346     209.32     70.962		0.04826930194518086 | 0.7062429331844228

 R  84 G   9    328     217.32     60.255		0.2538213105096332 | 0.25469730873350216

 R  84 G  10    334      215.5     69.487		0.2538213105096332 | 0.25469730873350216

 R  84 G  11    324      206.0     69.986		0.24382131050963318 | 0.25469730873350216

 R  84 G  12    344     219.62     61.085		0.04826930194518086 | 0.6962429331844228

 R  84 G  13    348     214.64      72.03		0.04826930194518086 | 0.6962429331844228

 R  84 G  14    344     218.08     68.645		0.04826930194518086 | 0.7062429331844228

 R  84 G  15    340     210.64     65.016		0.24382131050963318 | 0.25469730873350216

 R  84 G  16    344      204.9     67.364		0.04826930194518086 | 0.7062429331844228

 R  84 G  17    342      204.5     76.533		0.04826930194518086 | 0.6962429331844228

 R  84 G  18    348     214.04     67.508		0.04826930194518086 | 0.6862429331844228

 R  84 G  19    334     214.64     67.266		0.24382131050963318 | 0.25469730873350216

 R  84 G  20    332     205.78     69.806		0.24382131050963318 | 0.25469730873350216

 R  84 G  21    334     207.72     62.567		0.24382131050963318 | 0.25469730873350216

 R  84 G  22    336     221.26     68.057		0.24382131050963318 | 0.25469730873350216

 R  84 G  23    330      223.7     66.808		0.24382131050963318 | 0.24469730873350215

 R  84 G  24    326     208.26     67.853		0.4169799153472128 | 0.4005371554943691

 R  84 G  25    324     211.62     67.643		0.24382131050963318 | 0.25469730873350216

 R  84 G  26    338     219.04     72.262		0.2538213105096332 | 0.26469730873350217

 R  84 G  27    332     210.62     69.465		0.2538213105096332 | 0.26469730873350217

 R  84 G  28    326     203.14     66.824		0.2538213105096332 | 0.25469730873350216

 R  84 G  29    332     208.04     64.698		0.2538213105096332 | 0.25469730873350216

 R  84 G  30    328     209.34     60.861		0.2538213105096332 | 0.25469730873350216

 R  84 G  31    338     222.32     67.971		0.2538213105096332 | 0.25469730873350216

 R  84 G  32    338     213.82     62.485		0.2538213105096332 | 0.25469730873350216

 R  84 G  33    336     219.74     67.905		0.24382131050963318 | 0.25469730873350216

 R  84 G  34    336      210.7     64.814		0.2638213105096332 | 0.25469730873350216

 R  84 G  35    332      211.8     62.592		0.2538213105096332 | 0.25469730873350216

 R  84 G  36    336     221.62     73.767		0.2538213105096332 | 0.26469730873350217

 R  84 G  37    336     221.18     68.567		0.2538213105096332 | 0.25469730873350216

 R  84 G  38    336     225.36     65.244		0.2538213105096332 | 0.25469730873350216

 R  84 G  39    334     216.12     57.545		0.2538213105096332 | 0.25469730873350216

 R  84 G  40    336      220.7     68.832		0.2638213105096332 | 0.25469730873350216

 R  84 G  41    330     194.86     57.293		0.24382131050963318 | 0.25469730873350216

 R  84 G  42    336     218.38      67.81		0.24382131050963318 | 0.26469730873350217

 R  84 G  43    332     202.74     67.323		0.2538213105096332 | 0.25469730873350216

 R  84 G  44    342     212.82     62.785		0.2638213105096332 | 0.24469730873350215

 R  84 G  45    334      218.6     58.565		0.2538213105096332 | 0.25469730873350216

 R  84 G  46    336     223.62     74.165		0.23382131050963317 | 0.25469730873350216

 R  84 G  47    334     211.68     61.457		0.24382131050963318 | 0.25469730873350216

 R  84 G  48    336     218.54     71.625		0.23382131050963317 | 0.25469730873350216

 R  84 G  49    332     224.76     72.958		0.23382131050963317 | 0.25469730873350216

 R  84 G  50    342      215.9     65.357		0.23382131050963317 | 0.24469730873350215

 R  84 G  51    338      221.7      65.74		0.2538213105096332 | 0.24469730873350215

 R  84 G  52    340     211.02     69.678		0.22382131050963316 | 0.24469730873350215

 R  84 G  53    336     209.74      67.64		0.22382131050963316 | 0.24469730873350215

 R  84 G  54    334      225.9     60.202		0.22382131050963316 | 0.24469730873350215

 R  84 G  55    340     213.68     68.084		0.21382131050963316 | 0.24469730873350215

 R  84 G  56    328     204.04      61.14		0.22382131050963316 | 0.24469730873350215

 R  84 G  57    334      216.9     66.498		0.24382131050963318 | 0.23469730873350214

 R  84 G  58    336     206.48     61.263		0.21382131050963316 | 0.24469730873350215

 R  84 G  59    332     211.48     61.634		0.2538213105096332 | 0.25469730873350216

 R  84 G  60    338     210.18     64.868		0.2638213105096332 | 0.24469730873350215

 R  84 G  61    336      211.3      65.35		0.2538213105096332 | 0.25469730873350216

 R  84 G  62    340     227.36     63.332		0.2538213105096332 | 0.25469730873350216

 R  84 G  63    340     203.28     61.205		0.2538213105096332 | 0.25469730873350216

 R  84 G  64    338     211.42       68.0		0.2538213105096332 | 0.25469730873350216

 R  84 G  65    334     213.94     69.962		0.2538213105096332 | 0.25469730873350216

 R  84 G  66    336     209.72     69.589		0.2538213105096332 | 0.25469730873350216

 R  84 G  67    330     206.82     59.185		0.2538213105096332 | 0.25469730873350216

 R  84 G  68    340     217.48     69.296		0.24382131050963318 | 0.21469730873350212

 R  84 G  69    334      225.2     66.556		0.2838213105096332 | 0.25469730873350216

 R  84 G  70    338      222.4      70.06		0.2538213105096332 | 0.25469730873350216

 R  84 G  71    336     212.82     67.469		0.2638213105096332 | 0.24469730873350215

 R  84 G  72    338      215.5     65.405		0.24382131050963318 | 0.23469730873350214

 R  84 G  73    332      228.5     69.639		0.2638213105096332 | 0.25469730873350216

 R  84 G  74    330     207.74     60.878		0.24382131050963318 | 0.24469730873350215

 R  84 G  75    338     208.36     68.113		0.2838213105096332 | 0.26469730873350217

 R  84 G  76    336     219.48     67.075		0.2838213105096332 | 0.26469730873350217

 R  84 G  77    332     211.24     66.523		0.2838213105096332 | 0.25469730873350216

 R  84 G  78    336     220.16     65.752		0.2738213105096332 | 0.25469730873350216

 R  84 G  79    332     214.94     64.852		0.2838213105096332 | 0.26469730873350217

 R  84 G  80    334     222.36     69.907		0.2838213105096332 | 0.25469730873350216

 R  84 G  81    334     208.12     64.769		0.2838213105096332 | 0.25469730873350216

 R  84 G  82    328     208.52     64.926		0.24382131050963318 | 0.23469730873350214

 R  84 G  83    332      215.9      69.05		0.2838213105096332 | 0.2846973087335022

 R  84 G  84    336     200.08     60.245		0.2738213105096332 | 0.2746973087335022

 R  84 G  85    330     216.52     65.984		0.23382131050963317 | 0.23469730873350214

 R  84 G  86    336      222.1     63.245		0.2838213105096332 | 0.26469730873350217

 R  84 G  87    332     210.28      62.41		0.2738213105096332 | 0.23469730873350214

 R  84 G  88    332     213.98     65.487		0.2538213105096332 | 0.26469730873350217

 R  84 G  89    328     214.78     67.103		0.2538213105096332 | 0.26469730873350217

 R  84 G  90    336     216.24     65.219		0.2538213105096332 | 0.24469730873350215

 R  84 G  91    338     213.96     63.397		0.2638213105096332 | 0.23469730873350214

 R  84 G  92    336      227.7     74.193		0.2738213105096332 | 0.24469730873350215

 R  84 G  93    336     211.52     64.592		0.24382131050963318 | 0.2746973087335022

 R  84 G  94    344      210.3     66.375		0.24382131050963318 | 0.25469730873350216

 R  84 G  95    338     222.16     63.654		0.24382131050963318 | 0.23469730873350214

 R  84 G  96    336     210.86     68.434		0.23382131050963317 | 0.21469730873350212

 R  84 G  97    338      203.8     61.591		0.2638213105096332 | 0.23469730873350214

 R  84 G  98    340     226.08     70.683		0.24382131050963318 | 0.2746973087335022

 R  84 G  99    336     214.68     67.379		0.24382131050963318 | 0.2746973087335022

84     1###################### RawFitness
           0          0          350

 R  85 G   0    344      208.8     79.233		0.06283061934794376 | 0.9396385435565315

 R  85 G   1    346     205.36     76.542		0.03886488150277645 | 0.9650777205992531

 R  85 G   2    346     213.58     64.614		0.07222690246421459 | 0.4567881066075258

 R  85 G   3    344     205.42     67.247		0.10919532725414183 | 0.8346744330755144

 R  85 G   4    344     212.94     57.473		0.06853053010650467 | 0.2397593133639494

 R  85 G   5    348      209.4     71.209		0.05853053010650467 | 0.2397593133639494

 R  85 G   6    336      206.3     64.555		0.22018755863624873 | 0.3489638703273191

 R  85 G   7    344      201.0     66.564		0.05853053010650467 | 0.2397593133639494

 R  85 G   8    346     215.94     68.161		0.04853053010650467 | 0.2497593133639494

 R  85 G   9    346     219.04     63.645		0.05853053010650467 | 0.2397593133639494

 R  85 G  10    348      222.2     71.942		0.05853053010650467 | 0.2397593133639494

 R  85 G  11    346     216.74     68.711		0.06853053010650467 | 0.2397593133639494

 R  85 G  12    346     210.02     72.448		0.05853053010650467 | 0.2397593133639494

 R  85 G  13    350      209.9     73.644		0.05853053010650467 | 0.2397593133639494

 R  85 G  14    350     195.58     62.621		0.04853053010650467 | 0.2397593133639494

 R  85 G  15    350     206.46     74.779		0.06853053010650467 | 0.2397593133639494

 R  85 G  16    348     220.22     70.212		0.05853053010650467 | 0.2397593133639494

 R  85 G  17    350     207.16     80.097		0.04853053010650467 | 0.2297593133639494

 R  85 G  18    348      217.2     73.298		0.05853053010650467 | 0.2397593133639494

 R  85 G  19    348     222.48     70.003		0.06853053010650467 | 0.2297593133639494

 R  85 G  20    346     212.82     73.843		0.04853053010650467 | 0.2397593133639494

 R  85 G  21    348     203.92     75.972		0.05853053010650467 | 0.2397593133639494

 R  85 G  22    348     207.68     74.943		0.05853053010650467 | 0.2397593133639494

 R  85 G  23    346      223.7     73.568		0.05853053010650467 | 0.2397593133639494

 R  85 G  24    344     202.22     65.591		0.05853053010650467 | 0.2397593133639494

 R  85 G  25    344     210.16     64.241		0.05853053010650467 | 0.2397593133639494

 R  85 G  26    348     216.56     73.525		0.05853053010650467 | 0.2297593133639494

 R  85 G  27    348     212.16      71.76		0.04853053010650467 | 0.2397593133639494

 R  85 G  28    348     221.88     80.285		0.04853053010650467 | 0.2497593133639494

 R  85 G  29    350     220.06      74.56		0.05853053010650467 | 0.2397593133639494

 R  85 G  30    348     213.18     71.271		0.05853053010650467 | 0.2397593133639494

 R  85 G  31    350     205.52     76.717		0.05853053010650467 | 0.2297593133639494

 R  85 G  32    346     213.44     73.304		0.05853053010650467 | 0.2497593133639494

 R  85 G  33    350     229.18      75.47		0.04853053010650467 | 0.2297593133639494

 R  85 G  34    346      211.3     68.748		0.07853053010650467 | 0.2297593133639494

 R  85 G  35    348     200.32     67.594		0.03853053010650467 | 0.2397593133639494

 R  85 G  36    350      204.0     64.963		0.05853053010650467 | 0.2497593133639494

 R  85 G  37    350     227.72     80.163		0.05853053010650467 | 0.2497593133639494

 R  85 G  38    348     216.42      71.08		0.03853053010650467 | 0.2497593133639494

 R  85 G  39    348     209.64     80.462		0.05853053010650467 | 0.2497593133639494

 R  85 G  40    350     221.34     74.908		0.07853053010650467 | 0.2397593133639494

 R  85 G  41    350     220.98     75.969		0.04853053010650467 | 0.2397593133639494

 R  85 G  42    350     218.26     70.462		0.03853053010650467 | 0.2497593133639494

 R  85 G  43    348     209.64      68.28		0.04853053010650467 | 0.2497593133639494

 R  85 G  44    346     216.62     74.364		0.04853053010650467 | 0.2497593133639494

 R  85 G  45    348     232.86     73.311		0.05853053010650467 | 0.2597593133639494

 R  85 G  46    348      213.5     76.917		0.07853053010650467 | 0.2597593133639494

 R  85 G  47    344     205.56     66.809		0.07853053010650467 | 0.2597593133639494

 R  85 G  48    350     214.78     74.314		0.028530530106504665 | 0.2497593133639494

 R  85 G  49    348     218.74     67.978		0.07853053010650467 | 0.2597593133639494

 R  85 G  50    340      218.0     67.882		0.07853053010650467 | 0.2697593133639494

 R  85 G  51    344     193.38     68.961		0.07853053010650467 | 0.2697593133639494

 R  85 G  52    344     205.38     75.335		0.07853053010650467 | 0.2497593133639494

 R  85 G  53    326     198.16     77.684		0.37609004235038357 | 0.571222022259273

 R  85 G  54    324     220.06     69.773		0.37609004235038357 | 0.561222022259273

 R  85 G  55    326      215.3     72.962		0.36609004235038356 | 0.561222022259273

 R  85 G  56    318      209.1     66.024		0.36609004235038356 | 0.571222022259273

 R  85 G  57    322      201.4     68.184		0.37609004235038357 | 0.551222022259273

 R  85 G  58    326     207.52     70.754		0.36609004235038356 | 0.541222022259273

 R  85 G  59    328      206.4      72.67		0.37609004235038357 | 0.571222022259273

 R  85 G  60    322     210.36       67.9		0.35609004235038355 | 0.561222022259273

 R  85 G  61    328     197.08     67.448		0.36609004235038356 | 0.551222022259273

 R  85 G  62    330     213.26      74.18		0.35609004235038355 | 0.571222022259273

 R  85 G  63    322     211.14     65.859		0.36609004235038356 | 0.571222022259273

 R  85 G  64    322     203.44     71.417		0.36609004235038356 | 0.561222022259273

 R  85 G  65    330     211.66     73.542		0.35609004235038355 | 0.561222022259273

 R  85 G  66    324     216.86     63.239		0.35609004235038355 | 0.531222022259273

 R  85 G  67    326     199.54     75.748		0.34609004235038354 | 0.571222022259273

 R  85 G  68    322     208.78     67.642		0.36609004235038356 | 0.541222022259273

 R  85 G  69    330      227.8     71.725		0.36609004235038356 | 0.561222022259273

 R  85 G  70    322     212.88     69.222		0.37609004235038357 | 0.561222022259273

 R  85 G  71    326     215.04     66.617		0.35609004235038355 | 0.561222022259273

 R  85 G  72    326     205.92       70.1		0.34609004235038354 | 0.571222022259273

 R  85 G  73    330      214.2     78.116		0.36609004235038356 | 0.551222022259273

 R  85 G  74    330     212.34     67.338		0.33609004235038353 | 0.571222022259273

 R  85 G  75    324     217.96     73.048		0.33609004235038353 | 0.561222022259273

 R  85 G  76    322     199.66     68.663		0.36609004235038356 | 0.551222022259273

 R  85 G  77    328     217.24     78.146		0.36609004235038356 | 0.561222022259273

 R  85 G  78    326     205.06     67.967		0.36609004235038356 | 0.561222022259273

 R  85 G  79    322     207.78      78.56		0.36609004235038356 | 0.551222022259273

 R  85 G  80    322     207.82      74.06		0.37609004235038357 | 0.551222022259273

 R  85 G  81    326      208.3     73.615		0.33609004235038353 | 0.571222022259273

 R  85 G  82    326     201.56      70.73		0.33609004235038353 | 0.571222022259273

 R  85 G  83    324     213.88     68.047		0.37609004235038357 | 0.561222022259273

 R  85 G  84    326     228.62     67.328		0.35609004235038355 | 0.551222022259273

 R  85 G  85    320      211.3     69.792		0.37609004235038357 | 0.561222022259273

 R  85 G  86    326      223.4     74.458		0.3860900423503836 | 0.561222022259273

 R  85 G  87    334     212.92     74.361		0.37609004235038357 | 0.551222022259273

 R  85 G  88    326     215.64     73.261		0.36609004235038356 | 0.561222022259273

 R  85 G  89    324     203.82     71.677		0.3860900423503836 | 0.561222022259273

 R  85 G  90    328     218.88     70.715		0.34609004235038354 | 0.561222022259273

 R  85 G  91    330     211.58      77.15		0.35609004235038355 | 0.561222022259273

 R  85 G  92    328     193.54     74.686		0.37609004235038357 | 0.541222022259273

 R  85 G  93    322     195.66     64.476		0.33609004235038353 | 0.551222022259273

 R  85 G  94    328      205.7     74.511		0.33609004235038353 | 0.551222022259273

 R  85 G  95    330     217.64      74.32		0.36609004235038356 | 0.571222022259273

 R  85 G  96    330     205.12     77.151		0.36609004235038356 | 0.551222022259273

 R  85 G  97    326     198.12     73.177		0.36609004235038356 | 0.561222022259273

 R  85 G  98    328     214.28     64.449		0.37609004235038357 | 0.561222022259273

 R  85 G  99    330     208.52     66.372		0.36609004235038356 | 0.581222022259273

85    13###################### RawFitness
           0          0          350

 R  86 G   0    348     214.88     69.525		0.005906034422326845 | 0.30414438857488113

 R  86 G   1    344     199.36     70.261		0.0780248023601704 | 0.09889279404050821

 R  86 G   2    338      214.0     80.487		0.0780248023601704 | 0.09889279404050821

 R  86 G   3    340     212.12     73.408		0.0780248023601704 | 0.10889279404050821

 R  86 G   4    350     222.32      78.03		0.0780248023601704 | 0.10889279404050821

 R  86 G   5    324      194.3      80.08		0.33694419478540805 | 0.37668767254369173

 R  86 G   6    328     199.14     73.457		0.32890411409433695 | 0.8557040943801765

 R  86 G   7    336      208.2     77.821		0.32890411409433695 | 0.8557040943801765

 R  86 G   8    328     214.86     73.866		0.32890411409433695 | 0.8557040943801765

 R  86 G   9    326     205.14     82.178		0.33890411409433696 | 0.8457040943801765

 R  86 G  10    330     228.66     65.237		0.32890411409433695 | 0.8557040943801765

 R  86 G  11    330     222.26     77.624		0.31890411409433694 | 0.8557040943801765

 R  86 G  12    324     200.58     76.183		0.32890411409433695 | 0.8457040943801765

 R  86 G  13    328     197.96      83.34		0.31890411409433694 | 0.8657040943801765

 R  86 G  14    334     211.14     85.788		0.32890411409433695 | 0.8557040943801765

 R  86 G  15    336     210.08      81.49		0.32890411409433695 | 0.8657040943801765

 R  86 G  16    332     191.68      80.48		0.32890411409433695 | 0.8457040943801765

 R  86 G  17    336     196.86     76.272		0.32890411409433695 | 0.8457040943801765

 R  86 G  18    324     195.84     80.826		0.31890411409433694 | 0.8657040943801765

 R  86 G  19    324     204.52     79.034		0.32890411409433695 | 0.8457040943801765

 R  86 G  20    328     203.64     82.481		0.32890411409433695 | 0.8357040943801765

 R  86 G  21    326     201.34     77.656		0.31890411409433694 | 0.8657040943801765

 R  86 G  22    328     204.76      78.67		0.32890411409433695 | 0.8657040943801765

 R  86 G  23    328     210.66     87.872		0.32890411409433695 | 0.8557040943801765

 R  86 G  24    332     210.44     88.662		0.31890411409433694 | 0.8757040943801765

 R  86 G  25    328     203.86     87.336		0.31890411409433694 | 0.8657040943801765

 R  86 G  26    334     204.66      77.13		0.31890411409433694 | 0.8657040943801765

 R  86 G  27    328     207.94     84.128		0.32890411409433695 | 0.8457040943801765

 R  86 G  28    328     218.84     74.233		0.31890411409433694 | 0.8657040943801765

 R  86 G  29    330     212.64     77.535		0.32890411409433695 | 0.8557040943801765

 R  86 G  30    330      215.3     78.338		0.30890411409433693 | 0.8757040943801765

 R  86 G  31    326     212.76     83.244		0.32890411409433695 | 0.8457040943801765

 R  86 G  32    336     198.78     85.894		0.33890411409433696 | 0.8357040943801765

 R  86 G  33    328     198.82     79.176		0.31890411409433694 | 0.8657040943801765

 R  86 G  34    330     199.46     78.725		0.32890411409433695 | 0.8557040943801765

 R  86 G  35    328     215.42     76.732		0.32890411409433695 | 0.8657040943801765

 R  86 G  36    336     223.62      77.38		0.31890411409433694 | 0.8757040943801765

 R  86 G  37    334      204.4     85.209		0.31890411409433694 | 0.8757040943801765

 R  86 G  38    332     213.28     88.066		0.32890411409433695 | 0.8757040943801765

 R  86 G  39    336     212.06     81.256		0.31890411409433694 | 0.8757040943801765

 R  86 G  40    330     200.62     84.209		0.33890411409433696 | 0.8357040943801765

 R  86 G  41    324     209.94     74.381		0.33890411409433696 | 0.8357040943801765

 R  86 G  42    334     211.76     86.812		0.2989041140943369 | 0.8657040943801765

 R  86 G  43    330     201.36     79.385		0.32890411409433695 | 0.8357040943801765

 R  86 G  44    334     205.64     87.838		0.33890411409433696 | 0.8457040943801765

 R  86 G  45    332     224.86     75.981		0.33890411409433696 | 0.8457040943801765

 R  86 G  46    330     202.56     86.657		0.31890411409433694 | 0.8657040943801765

 R  86 G  47    328     201.42     89.448		0.2989041140943369 | 0.8657040943801765

 R  86 G  48    336     208.72     88.175		0.31890411409433694 | 0.8557040943801765

 R  86 G  49    334     201.84     91.949		0.2989041140943369 | 0.8657040943801765

 R  86 G  50    336      221.9     70.137		0.32890411409433695 | 0.8857040943801765

 R  86 G  51    330      212.6      73.11		0.30890411409433693 | 0.8557040943801765

 R  86 G  52    326     198.58     82.611		0.33890411409433696 | 0.8457040943801765

 R  86 G  53    332     212.24     77.174		0.2989041140943369 | 0.8757040943801765

 R  86 G  54    328     215.24     76.885		0.30890411409433693 | 0.8657040943801765

 R  86 G  55    334      211.6     74.148		0.32890411409433695 | 0.8257040943801764

 R  86 G  56    338     218.18     80.218		0.33890411409433696 | 0.8257040943801764

 R  86 G  57    324     198.42      79.01		0.34890411409433697 | 0.8457040943801765

 R  86 G  58    328     217.44     76.612		0.32890411409433695 | 0.8157040943801764

 R  86 G  59    326     219.56     77.037		0.32890411409433695 | 0.8557040943801765

 R  86 G  60    332     208.58     84.367		0.33890411409433696 | 0.8257040943801764

 R  86 G  61    328     206.22     70.343		0.31890411409433694 | 0.8657040943801765

 R  86 G  62    328     205.84     79.552		0.31890411409433694 | 0.8557040943801765

 R  86 G  63    332     207.96     82.802		0.31890411409433694 | 0.8557040943801765

 R  86 G  64    330     211.54     75.652		0.31890411409433694 | 0.8557040943801765

 R  86 G  65    328     194.34     83.047		0.31890411409433694 | 0.8557040943801765

 R  86 G  66    332     208.76     84.419		0.30890411409433693 | 0.8557040943801765

 R  86 G  67    330     199.36     88.981		0.31890411409433694 | 0.8557040943801765

 R  86 G  68    330     196.68     87.269		0.30890411409433693 | 0.8457040943801765

 R  86 G  69    332     204.62     77.475		0.33890411409433696 | 0.8557040943801765

 R  86 G  70    328      201.0       87.4		0.2889041140943369 | 0.8457040943801765

 R  86 G  71    336     192.94      85.59		0.31890411409433694 | 0.8457040943801765

 R  86 G  72    332      210.6     88.014		0.31890411409433694 | 0.8457040943801765

 R  86 G  73    326     201.28     86.483		0.31890411409433694 | 0.8557040943801765

 R  86 G  74    330     203.52     83.561		0.31890411409433694 | 0.8457040943801765

 R  86 G  75    328      215.8     81.063		0.31890411409433694 | 0.8657040943801765

 R  86 G  76    332     200.76     87.863		0.31890411409433694 | 0.8557040943801765

 R  86 G  77    328      212.4     77.792		0.31890411409433694 | 0.8557040943801765

 R  86 G  78    328     210.02     89.167		0.32890411409433695 | 0.8657040943801765

 R  86 G  79    326     211.64      79.77		0.32890411409433695 | 0.8457040943801765

 R  86 G  80    332     211.84     74.464		0.31890411409433694 | 0.8457040943801765

 R  86 G  81    328     210.96      76.25		0.31890411409433694 | 0.8457040943801765

 R  86 G  82    332     207.06      82.23		0.34890411409433697 | 0.8557040943801765

 R  86 G  83    322     199.26     83.693		0.31890411409433694 | 0.8457040943801765

 R  86 G  84    330     201.84     88.159		0.31890411409433694 | 0.8457040943801765

 R  86 G  85    326     205.42     87.779		0.30890411409433693 | 0.8457040943801765

 R  86 G  86    330     212.22     81.443		0.34890411409433697 | 0.8457040943801765

 R  86 G  87    330     203.02     90.913		0.2989041140943369 | 0.8457040943801765

 R  86 G  88    326     203.62      79.31		0.31890411409433694 | 0.8457040943801765

 R  86 G  89    330     215.08      81.85		0.33890411409433696 | 0.8457040943801765

 R  86 G  90    334     212.58     75.475		0.32890411409433695 | 0.8557040943801765

 R  86 G  91    328     211.32     77.401		0.34890411409433697 | 0.8357040943801765

 R  86 G  92    326      207.6     80.372		0.31890411409433694 | 0.8257040943801764

 R  86 G  93    328      209.5     89.253		0.32890411409433695 | 0.8457040943801765

 R  86 G  94    330      210.9     85.089		0.33890411409433696 | 0.8457040943801765

 R  86 G  95    328      215.0      76.62		0.33890411409433696 | 0.8457040943801765

 R  86 G  96    334     202.32     76.269		0.31890411409433694 | 0.8257040943801764

 R  86 G  97    324     210.96     78.262		0.32890411409433695 | 0.8357040943801765

 R  86 G  98    328     213.72     88.177		0.31890411409433694 | 0.8557040943801765

 R  86 G  99    332     211.66     82.811		0.34890411409433697 | 0.8457040943801765

86     4###################### RawFitness
           0          0          350

 R  87 G   0    350     210.34     73.758		0.003787186859181446 | 0.2395764992144247

 R  87 G   1    350      201.4     70.955		0.014881457972659162 | 0.15447055264077492

 R  87 G   2    336     188.92     69.909		0.12439401315816634 | 0.8232343090657861

 R  87 G   3    350     212.34     78.126		0.003787186859181446 | 0.2295764992144247

 R  87 G   4    350     220.44     67.306		0.04720243471301656 | 0.8294910717367953

 R  87 G   5    350     223.44     75.973		0.003787186859181446 | 0.2295764992144247

 R  87 G   6    350     203.16     64.907		0.003787186859181446 | 0.2295764992144247

 R  87 G   7    350     212.66     64.418		0.003787186859181446 | 0.2395764992144247

 R  87 G   8    350      205.3     65.265		0.003787186859181446 | 0.2295764992144247

 R  87 G   9    350     225.82     56.835		0.0 | 0.2295764992144247

 R  87 G  10    348     209.16     58.931		0.04720243471301656 | 0.8294910717367953

 R  87 G  11    348     209.82      57.32		0.05720243471301656 | 0.8294910717367953

 R  87 G  12    350      209.6     55.591		0.04720243471301656 | 0.8194910717367953

 R  87 G  13    348     205.34     61.043		0.04720243471301656 | 0.8294910717367953

 R  87 G  14    342     206.64       55.0		0.04720243471301656 | 0.8294910717367953

 R  87 G  15    348     197.06     69.833		0.04720243471301656 | 0.8294910717367953

 R  87 G  16    312      213.6     65.453		0.466540270550419 | 0.532050528844439

 R  87 G  17    310     208.58     61.501		0.49654027055041905 | 0.522050528844439

 R  87 G  18    308      210.7      60.18		0.5065402705504191 | 0.522050528844439

 R  87 G  19    316     223.34     56.717		0.48654027055041904 | 0.512050528844439

 R  87 G  20    314     220.56     63.808		0.48654027055041904 | 0.522050528844439

 R  87 G  21    322     210.92     66.663		0.47654027055041903 | 0.522050528844439

 R  87 G  22    318     215.42     66.059		0.47654027055041903 | 0.522050528844439

 R  87 G  23    312     205.28     66.024		0.466540270550419 | 0.522050528844439

 R  87 G  24    316     215.18     67.595		0.5065402705504191 | 0.512050528844439

 R  87 G  25    314     222.92     65.811		0.466540270550419 | 0.542050528844439

 R  87 G  26    308     209.88     62.572		0.49654027055041905 | 0.512050528844439

 R  87 G  27    312     201.32     72.361		0.456540270550419 | 0.532050528844439

 R  87 G  28    310     196.28     67.797		0.466540270550419 | 0.522050528844439

 R  87 G  29    316     210.06     75.261		0.446540270550419 | 0.542050528844439

 R  87 G  30    314      211.8     69.353		0.446540270550419 | 0.542050528844439

 R  87 G  31    320     219.16     69.325		0.436540270550419 | 0.532050528844439

 R  87 G  32    316      211.8     66.413		0.446540270550419 | 0.532050528844439

 R  87 G  33    318     203.74     73.143		0.446540270550419 | 0.532050528844439

