Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348     205.64     73.431		0.10070556186895041 | 0.06107305562731147
 R   3 G  32    326     215.34     62.494		0.4300680017724192 | 0.1895707575565796

 R   3 G  33    320      212.8     58.333		0.4400680017724192 | 0.17957075755657959

 R   3 G  34    322     207.28     58.053		0.4400680017724192 | 0.1995707575565796

 R   3 G  35    328     215.18     57.073		0.4400680017724192 | 0.1995707575565796

 R   3 G  36    320     202.46      52.06		0.4300680017724192 | 0.1895707575565796

 R   3 G  37    312     215.26     59.521		0.45006800177241923 | 0.1995707575565796

 R   3 G  38    316     221.48     63.061		0.4300680017724192 | 0.1995707575565796

 R   3 G  39    318     218.82     63.746		0.45006800177241923 | 0.1895707575565796

 R   3 G  40    320     213.94     56.756		0.4300680017724192 | 0.17957075755657959

 R   3 G  41    316      224.4     60.871		0.45006800177241923 | 0.1895707575565796

 R   3 G  42    320     205.46     59.605		0.4300680017724192 | 0.17957075755657959

 R   3 G  43    318     210.66     60.888		0.4400680017724192 | 0.2095707575565796

 R   3 G  44    320     211.68     57.359		0.45006800177241923 | 0.1895707575565796

 R   3 G  45    322     207.42     59.946		0.4300680017724192 | 0.2095707575565796

 R   3 G  46    314     209.36     52.344		0.45006800177241923 | 0.1895707575565796

 R   3 G  47    316     218.68     60.385		0.4400680017724192 | 0.2095707575565796

 R   3 G  48    318     214.46     61.544		0.4400680017724192 | 0.2095707575565796

 R   3 G  49    318     209.26     62.482		0.45006800177241923 | 0.1895707575565796

 R   3 G  50    316     201.84     51.391		0.4400680017724192 | 0.2095707575565796

 R   3 G  51    322     207.98     57.634		0.46006800177241924 | 0.1895707575565796

 R   3 G  52    320     204.54     56.079		0.45006800177241923 | 0.1895707575565796

 R   3 G  53    314      211.6     62.662		0.45006800177241923 | 0.17957075755657959

 R   3 G  54    314     206.26     56.412		0.45006800177241923 | 0.1895707575565796

 R   3 G  55    316     211.62     53.886		0.45006800177241923 | 0.17957075755657959

 R   3 G  56    320     208.94     56.936		0.4400680017724192 | 0.17957075755657959

 R   3 G  57    320      214.7     59.784		0.45006800177241923 | 0.17957075755657959

 R   3 G  58    320     206.76      57.67		0.45006800177241923 | 0.16957075755657958

 R   3 G  59    322     221.28     63.416		0.46006800177241924 | 0.1895707575565796

 R   3 G  60    316      210.5     60.045		0.45006800177241923 | 0.15957075755657957

 R   3 G  61    314     216.96     59.996		0.45006800177241923 | 0.17957075755657959

 R   3 G  62    322     201.86     59.135		0.45006800177241923 | 0.2095707575565796

 R   3 G  63    316      202.2     54.132		0.46006800177241924 | 0.17957075755657959

 R   3 G  64    314     212.84     60.595		0.46006800177241924 | 0.1895707575565796

 R   3 G  65    314     210.14     54.206		0.46006800177241924 | 0.17957075755657959

 R   3 G  66    312     203.12     56.172		0.46006800177241924 | 0.17957075755657959

 R   3 G  67    318     204.82     51.252		0.46006800177241924 | 0.17957075755657959

 R   3 G  68    312     215.04     59.273		0.46006800177241924 | 0.17957075755657959

 R   3 G  69    320     216.52     59.567		0.47006800177241925 | 0.17957075755657959

 R   3 G  70    314      209.3     58.626		0.4400680017724192 | 0.17957075755657959

 R   3 G  71    318     204.74     61.255		0.45006800177241923 | 0.14957075755657956

 R   3 G  72    320      205.5     57.549		0.48006800177241926 | 0.17957075755657959

 R   3 G  73    314     215.16     61.045		0.4400680017724192 | 0.15957075755657957

 R   3 G  74    312      214.4     56.387		0.46006800177241924 | 0.17957075755657959

 R   3 G  75    314     209.36     61.358		0.46006800177241924 | 0.1995707575565796

 R   3 G  76    322     205.72     67.875		0.45006800177241923 | 0.14957075755657956

 R   3 G  77    316     211.82      61.91		0.46006800177241924 | 0.17957075755657959

 R   3 G  78    316      214.9     59.241		0.46006800177241924 | 0.15957075755657957

 R   3 G  79    316      220.5     59.945		0.46006800177241924 | 0.17957075755657959

 R   3 G  80    322     210.68     57.219		0.46006800177241924 | 0.17957075755657959

 R   3 G  81    320     218.32     61.859		0.46006800177241924 | 0.17957075755657959

 R   3 G  82    320      221.4      59.24		0.46006800177241924 | 0.17957075755657959

 R   3 G  83    320      209.2      62.47		0.46006800177241924 | 0.1895707575565796

 R   3 G  84    324     224.52     57.827		0.46006800177241924 | 0.17957075755657959

 R   3 G  85    316     216.38     63.978		0.46006800177241924 | 0.17957075755657959

 R   3 G  86    312     221.38     60.196		0.46006800177241924 | 0.17957075755657959

 R   3 G  87    316      217.6     58.189		0.46006800177241924 | 0.17957075755657959

 R   3 G  88    314     222.98     56.323		0.45006800177241923 | 0.1895707575565796

 R   3 G  89    312     220.14     64.074		0.45006800177241923 | 0.1895707575565796

 R   3 G  90    320     213.18     55.335		0.45006800177241923 | 0.1895707575565796

 R   3 G  91    326      213.3     59.565		0.45006800177241923 | 0.1895707575565796

 R   3 G  92    316     212.06     56.695		0.45006800177241923 | 0.1895707575565796

 R   3 G  93    324     216.36     58.224		0.45006800177241923 | 0.1895707575565796

 R   3 G  94    328      215.0     52.469		0.45006800177241923 | 0.1895707575565796

 R   3 G  95    316     216.14     53.914		0.46006800177241924 | 0.16957075755657958

 R   3 G  96    316      217.3     51.165		0.46006800177241924 | 0.1995707575565796

 R   3 G  97    316     218.54     51.588		0.45006800177241923 | 0.1895707575565796

 R   3 G  98    322      213.6     59.684		0.45006800177241923 | 0.1995707575565796

 R   3 G  99    318     207.88     56.812		0.47006800177241925 | 0.17957075755657959

3      3###################### RawFitness
           0          0          350

 R   4 G   0    340     210.62     64.505		0.1086016635800291 | 0.48449136828622963

 R   4 G   1    344     198.46     81.373		0.09549851033952028 | 0.5142573277329267

 R   4 G   2    344      217.0     69.374		0.1086016635800291 | 0.48449136828622963

 R   4 G   3    344     194.98     72.832		0.05171976167954817 | 0.8384562994314388

 R   4 G   4    346     207.96     77.946		0.05171976167954817 | 0.8384562994314388

 R   4 G   5    308     208.76      70.98		0.48102820684532277 | 0.67445844417728

 R   4 G   6    314     212.44     64.109		0.4424256035666373 | 0.4050718041381437

 R   4 G   7    304     213.32      70.58		0.48102820684532277 | 0.67445844417728

 R   4 G   8    330     210.02     74.653		0.40014931883678717 | 0.8806343825716738

 R   4 G   9    318      211.8     73.401		0.48102820684532277 | 0.68445844417728

 R   4 G  10    314     210.12     72.901		0.4424256035666373 | 0.4050718041381437

 R   4 G  11    316     196.22     76.329		0.4424256035666373 | 0.4150718041381437

 R   4 G  12    316     198.34     73.017		0.4324256035666373 | 0.4050718041381437

 R   4 G  13    326     206.86     71.268		0.4224256035666373 | 0.3850718041381437

 R   4 G  14    312     213.98     62.391		0.4424256035666373 | 0.4150718041381437

 R   4 G  15    312     207.06     63.655		0.4324256035666373 | 0.4150718041381437

 R   4 G  16    310     207.06     69.173		0.4424256035666373 | 0.4150718041381437

 R   4 G  17    314     218.68     68.331		0.4524256035666373 | 0.4250718041381437

 R   4 G  18    318     215.54     70.488		0.4424256035666373 | 0.4050718041381437

 R   4 G  19    314      213.4     67.684		0.4524256035666373 | 0.4250718041381437

 R   4 G  20    312     217.68     69.012		0.4424256035666373 | 0.3950718041381437

 R   4 G  21    314     210.14     71.693		0.4524256035666373 | 0.4050718041381437

 R   4 G  22    318     220.18     67.328		0.4524256035666373 | 0.4250718041381437

 R   4 G  23    304     208.28     69.308		0.4524256035666373 | 0.4250718041381437

