Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348      205.6     73.457		0.10070556186895041 | 0.06107305562731147
 R   4 G  15    350     193.34     76.906		0.04064650217863075 | 0.21798501684268445

 R   4 G  16    348      184.2     80.064		0.030646502178630748 | 0.22798501684268446

 R   4 G  17    346     188.54     75.051		0.04064650217863075 | 0.21798501684268445

 R   4 G  18    350     185.14     82.107		0.04064650217863075 | 0.21798501684268445

 R   4 G  19    270     198.68     74.575		0.8896548369845539 | 0.912107090496089

 R   4 G  20    274      197.0     80.863		0.8896548369845539 | 0.912107090496089

 R   4 G  21    272     199.22     77.813		0.899654836984554 | 0.912107090496089

 R   4 G  22    272     197.22     79.611		0.899654836984554 | 0.912107090496089

 R   4 G  23    274     196.72     79.296		0.8796548369845539 | 0.922107090496089

 R   4 G  24    272     199.32     73.809		0.8796548369845539 | 0.912107090496089

 R   4 G  25    268      205.7     73.022		0.8796548369845539 | 0.922107090496089

